CURSO , PRIMERO , SEGUNDO , TERCERO , CUARTO , QUINTO , SEXTO 
PRIMERO , 8 , , , , , 
SEGUNDO , 7 , 13 , , , , 
TERCERO , 3 , 18 , 35 , , , 
CUARTO , 2 , 6 , 9 , 21 , , 
QUINTO , 3 , 16 , 21 , 31 , 21 , 
SEXTO , 0 , 0 , 0 , 0 , 0 , 0 
