TIPO DE BECA , ALUMNOS 
MEC. REGIMEN GENERAL , 0 
MEC. COLABORACION , 0 
MEC. PROMOCION EDUCATIVA , 0 
INST. ESPANOL DE EMIGRACION , 0 
MINISTERIO ASUNTOS EXTERIORES , 0 
JUNTA DE ANDALUCIA , 0 
OTRAS COMUNIDADES AUTONOMAS , 0 
SIN ESPECIFICAR , 1 
UNIVERSIDAD DE GRANADA , 0 
TOTAL BECARIOS , 1 
