del , con asignaturas de 
CURSO , PRIMERO , SEGUNDO , TERCERO , CUARTO , QUINTO , SEXTO 
PRIMERO , 14 , , , , , 
SEGUNDO , 12 , 17 , , , , 
TERCERO , 15 , 27 , 29 , , , 
CUARTO , 8 , 11 , 13 , 34 , , 
QUINTO , 9 , 12 , 19 , 40 , 24 , 
SEXTO , 0 , 0 , 0 , 0 , 0 , 0 
