Artículo,Concepto,Subcocepto,Denominación,Importe
82 Reintegro de préstamos concedidos,821 A largo plazo,82100,Del personal de la Universidad,650000
87 Remanente de tesorería,870 Remanente de tesorería,87001,Remanente de tesorería no afectado,0
