"Tipo","Denominación","Cargo","Identificación","Perfil"
"Colegiados","Claustro Universitario","CIRCUNSCRIPCIÓN 4: Representante FACULTAD DE TRABAJO SOCIAL / Representante FACULTAD DE CIENCIAS DEL TRABAJO / Representante FACULTAD DE CIENCIAS POLÍTICAS Y SOCIOLOGÍA / Representante FACULTAD DE DERECHO / Representante FACULTAD DE TRADUCCIÓN E INTERPRETACIÓN","CUESTA RICO, FRANCISCO","Resto Personal Docente e Investigador"
"Colegiados","Claustro Universitario","CIRCUNSCRIPCIÓN 4: Representante FACULTAD DE TRABAJO SOCIAL / Representante FACULTAD DE CIENCIAS DEL TRABAJO / Representante FACULTAD DE CIENCIAS POLÍTICAS Y SOCIOLOGÍA / Representante FACULTAD DE DERECHO / Representante FACULTAD DE TRADUCCIÓN E INTERPRETACIÓN","VEGA EXPÓSITO, MIGUEL","Resto Personal Docente e Investigador"
"Colegiados","Claustro Universitario","CIRCUNSCRIPCIÓN 5: Representante FACULTAD DE FILOSOFÍA Y LETRAS / Representante FACULTAD DE CIENCIAS DEL DEPORTE / Representante FACULTAD DE COMUNICACIÓN Y DOCUMENTACIÓN / Representante FACULTAD DE FARMACIA / Representante FACULTAD DE ODONTOLOGÍA / Representante FACULTAD DE PSICOLOGÍA","LÓPEZ SAKO, NOBUO IGNACIO","Resto Personal Docente e Investigador"
"Colegiados","Claustro Universitario","CIRCUNSCRIPCIÓN 5: Representante FACULTAD DE FILOSOFÍA Y LETRAS / Representante FACULTAD DE CIENCIAS DEL DEPORTE / Representante FACULTAD DE COMUNICACIÓN Y DOCUMENTACIÓN / Representante FACULTAD DE FARMACIA / Representante FACULTAD DE ODONTOLOGÍA / Representante FACULTAD DE PSICOLOGÍA","VACANTE","Resto Personal Docente e Investigador"
"Colegiados","Claustro Universitario","CIRCUNSCRIPCIÓN 6: Representante FACULTAD DE EDUCACIÓN Y HUMANIDADES DE CEUTA / Representante FACULTAD DE CIENCIAS DE LA SALUD DE CEUTA / ESCUELA DE POSGRADO DE CEUTA","GONZÁLEZ VÁZQUEZ, ANTONIO","Resto Personal Docente e Investigador"
"Colegiados","Claustro Universitario","CIRCUNSCRIPCIÓN 7: Representante FACULTAD DE CIENCIAS SOCIALES DE MELILLA / Representante FACULTAD DE ENFERMERÍA DE MELILLA / Representante FACULTAD DE EDUCACIÓN Y HUMANIDADES DE MELILLA / ESCUELA DE POSGRADO DE MELILLA","VACANTE","Resto Personal Docente e Investigador"
"Colegiados","Claustro Universitario","CIRCUNSCRIPCIÓN ÚNICA","VACANTE","Profesorado asociado de Ciencias de la Salud"
"Colegiados","Claustro Universitario","CIRCUNSCRIPCIÓN ÚNICA","ROJAS MONTES, CRISTINA","Profesorado asociado de Ciencias de la Salud"
"Colegiados","Claustro Universitario","CIRCUNSCRIPCIÓN ÚNICA","VACANTE","Profesorado asociado de Ciencias de la Salud"
"Colegiados","Claustro Universitario","Representante E.T.S. DE ARQUITECTURA","CONTRERAS UBRIC, JORGE","Estudiantes"
"Colegiados","Claustro Universitario","Representante E.T.S. DE ARQUITECTURA","MAS LLUCH, ANTONI","Estudiantes"
"Colegiados","Claustro Universitario","Representante E.T.S. DE INGENIERÍA DE CAMINOS, CANALES Y PUERTOS","VACANTE","Estudiantes"
"Colegiados","Claustro Universitario","Representante E.T.S. DE INGENIERÍA DE CAMINOS, CANALES Y PUERTOS","QUIRÓS NEBRERA, CRISTIAN","Estudiantes"
"Colegiados","Claustro Universitario","Representante E.T.S. DE INGENIERÍAS INFORMÁTICA Y DE TELECOMUNICACIÓN","ROBLES PÉREZ, SALVADOR","Estudiantes"
"Colegiados","Claustro Universitario","Representante E.T.S. DE INGENIERÍAS INFORMÁTICA Y DE TELECOMUNICACIÓN","VACANTE","Estudiantes"
"Colegiados","Claustro Universitario","Representante E.T.S. DE INGENIERÍAS INFORMÁTICA Y DE TELECOMUNICACIÓN","VACANTE","Estudiantes"
"Colegiados","Claustro Universitario","Representante E.T.S. DE INGENIERÍA DE EDIFICACIÓN","LÓPEZ RENTERO, RUBÉN","Estudiantes"
"Colegiados","Claustro Universitario","Representante E.T.S. DE INGENIERÍA DE EDIFICACIÓN","VACANTE","Estudiantes"
"Colegiados","Claustro Universitario","Representante E.T.S. DE INGENIERÍA DE EDIFICACIÓN","VACANTE","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE CIENCIAS DE LA SALUD (GRANADA)","VACANTE","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE CIENCIAS SOCIALES DE MELILLA","HAMMOU MOHAMEDI, HAMZA","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE ENFERMERÍA DE MELILLA","VACANTE","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE TRABAJO SOCIAL","VACANTE","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE BELLAS ARTES","GÓMEZ CASTRO, ARACELI","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE BELLAS ARTES","VACANTE","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE CIENCIAS","FERNÁNDEZ ORTIZ, JULIÁN","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE CIENCIAS","GARCÍA HERNÁNDEZ, JOAQUÍN","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE CIENCIAS","VACANTE","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE CIENCIAS","PEREGRÍN MARCOS, FRANCISCO JAVIER","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE CIENCIAS","TORRUS GARCÍA, ANA MARÍA","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE CIENCIAS","VACANTE","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE CIENCIAS","VACANTE","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE CIENCIAS DEL DEPORTE","VACANTE","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE CIENCIAS DEL DEPORTE","VACANTE","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE CIENCIAS DE LA EDUCACIÓN","FERNÁNDEZ FORNIELLES, FRANCISCO","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE CIENCIAS DE LA EDUCACIÓN","FERNÁNDEZ JIMÉNEZ, CARMEN","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE CIENCIAS DE LA EDUCACIÓN","GARRIDO GARCÍA, ÁNGELA MARÍA","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE CIENCIAS DE LA EDUCACIÓN","JURADO VIGIL, ARACELI","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE CIENCIAS DE LA EDUCACIÓN","MOLINA CASCO, CRISTINA","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE CIENCIAS DE LA EDUCACIÓN","VACANTE","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE CIENCIAS DE LA EDUCACIÓN","ZAMORA ALGUACIL, JOSÉ","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE CIENCIAS DEL TRABAJO","VACANTE","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE CIENCIAS DEL TRABAJO","VACANTE","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES","VACANTE","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES","VACANTE","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES","VACANTE","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES","HINOJOSA VICO, LAURA","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES","VACANTE","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES","VACANTE","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES","NAVARRETE TORRES, NURIA","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES","VACANTE","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE CIENCIAS POLÍTICAS Y SOCIOLOGÍA","VACANTE","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE CIENCIAS POLÍTICAS Y SOCIOLOGÍA","VACANTE","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE COMUNICACIÓN Y DOCUMENTACIÓN","VACANTE","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE DERECHO","CALDERÓN RUIZ, ANTONIO FRANCISCO","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE DERECHO","GARRIDO MUÑOZ, PABLO","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE DERECHO","GIL AMORES, LUIS MIGUEL","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE DERECHO","VACANTE","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE DERECHO","RUIZ MORATA, MARINA","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE EDUCACIÓN, ECONOMÍA Y TECNOLOGÍA (CEUTA)","VACANTE","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE EDUCACIÓN Y HUMANIDADES (MELILLA)","SOTO ROBLES, JOSÉ FRANCISCO","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE FARMACIA","RUIZ HERNÁNDEZ, MARÍA LORENA","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE FARMACIA","VACANTE","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE FARMACIA","VACANTE","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE FARMACIA","VACANTE","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE FILOSOFÍA Y LETRAS","BARBA GONZÁLEZ, PEDRO","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE FILOSOFÍA Y LETRAS","VACANTE","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE FILOSOFÍA Y LETRAS","GUYANLEMA ARÉVALO, BRYAN","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE FILOSOFÍA Y LETRAS","MAURICIO LACASA MUÑOZ, ELENA","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE FILOSOFÍA Y LETRAS","MORA PALOMARES, AGUSTÍN","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE FILOSOFÍA Y LETRAS","TENEDOR TENEDOR, JAVIER","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE MEDICINA","VACANTE","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE MEDICINA","VACANTE","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE ODONTOLOGÍA","VACANTE","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE PSICOLOGÍA","VACANTE","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE PSICOLOGÍA","VACANTE","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE PSICOLOGÍA","VACANTE","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE TRADUCCIÓN E INTERPRETACIÓN","VACANTE","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE TRADUCCIÓN E INTERPRETACIÓN","VACANTE","Estudiantes"
"Colegiados","Claustro Universitario","Representante FACULTAD DE CC. DE LA SALUD (CEUTA)","LÓPEZ MARTÍN, FRANCISCO DE ASÍS","Estudiantes"
"Colegiados","Claustro Universitario","Representante CENTRO DE MAGISTERIO ""LA INMACULADA""","BARRANCO MONTILLA, ANTONIO","Estudiantes"
"Colegiados","Claustro Universitario","Representante CENTRO DE MAGISTERIO ""LA INMACULADA""","VACANTE","Estudiantes"
"Colegiados","Claustro Universitario","Representante ESTUDIANTES DE MÁSTER UNIVERSITARIO Y DOCTORADO","ALARCÓN GONZÁLEZ, FRANCISCO JAVIER","Estudiantes"
"Colegiados","Claustro Universitario","Representante ESTUDIANTES DE MÁSTER UNIVERSITARIO Y DOCTORADO","VACANTE","Estudiantes"
"Colegiados","Claustro Universitario","Representante ESTUDIANTES DE MÁSTER UNIVERSITARIO Y DOCTORADO","VACANTE","Estudiantes"
"Colegiados","Claustro Universitario","Representante ESTUDIANTES DE MÁSTER UNIVERSITARIO Y DOCTORADO","LÓPEZ AGUDO, FERNANDO JAVIER","Estudiantes"
"Colegiados","Claustro Universitario","Representante ESTUDIANTES DE MÁSTER UNIVERSITARIO Y DOCTORADO","MORA GONZÁLEZ, ADRIÁN","Estudiantes"
"Colegiados","Claustro Universitario","Representante ESTUDIANTES DE MÁSTER UNIVERSITARIO Y DOCTORADO","ORTÍZ PÉREZ, ALEJANDRO","Estudiantes"
"Colegiados","Claustro Universitario","Representante ESTUDIANTES DE MÁSTER UNIVERSITARIO Y DOCTORADO","SEGURA ROBLES, ADRIÁN","Estudiantes"
"Colegiados","Claustro Universitario","Representante PAS GRANADA","ARTÉS RODRÍGUEZ, MARÍA","Personal de Administración y Servicios "
"Colegiados","Claustro Universitario","Representante PAS GRANADA","BARROS JÓDAR, JUAN ANTONIO","Personal de Administración y Servicios "
"Colegiados","Claustro Universitario","Representante PAS GRANADA","CASTRO MOLINA, JUAN DE DIOS","Personal de Administración y Servicios "
"Colegiados","Claustro Universitario","Representante PAS GRANADA","CEREZO DÍAZ, JOSE ANTONIO","Personal de Administración y Servicios "
"Colegiados","Claustro Universitario","Representante PAS GRANADA","CERVERA VALENCIA, PATRICIA A.","Personal de Administración y Servicios "
"Colegiados","Claustro Universitario","Representante PAS GRANADA","GUERRA TSCHUSCHKE, ISABEL","Personal de Administración y Servicios "
"Colegiados","Claustro Universitario","Representante PAS GRANADA","JARAMILLO MARTÍN, MIGUEL ÁNGEL","Personal de Administración y Servicios "
"Colegiados","Claustro Universitario","Representante PAS GRANADA","LEDESMA GONZÁLEZ-FRÍAS, ESTHER","Personal de Administración y Servicios "
"Colegiados","Claustro Universitario","Representante PAS GRANADA","LÓPEZ FERNÁNDEZ, JOSE ANTONIO","Personal de Administración y Servicios "
"Colegiados","Claustro Universitario","Representante PAS GRANADA","LÓPEZ RUBIO, ANA MARÍA","Personal de Administración y Servicios "
"Colegiados","Claustro Universitario","Representante PAS GRANADA","MACHADO SANTIAGO, FRANCISCO JAVIER","Personal de Administración y Servicios "
"Colegiados","Claustro Universitario","Representante PAS GRANADA","MANJÓN-CABEZA CRUZ, ARACELI","Personal de Administración y Servicios "
"Colegiados","Claustro Universitario","Representante PAS GRANADA","MARÍN RUIZ, ANTONIO","Personal de Administración y Servicios "
"Colegiados","Claustro Universitario","Representante PAS GRANADA","MARTÍNEZ VÁZQUEZ, JOSÉ ANTONIO","Personal de Administración y Servicios "
"Colegiados","Claustro Universitario","Representante PAS GRANADA","MARTOS GARCÍA, JOSÉ LUIS","Personal de Administración y Servicios "
"Colegiados","Claustro Universitario","Representante PAS GRANADA","MOLERO MESA, EVARISTO","Personal de Administración y Servicios "
"Colegiados","Claustro Universitario","Representante PAS GRANADA","MORÁN GUTIÉRREZ, DANIEL ALEJANDRO","Personal de Administración y Servicios "
"Colegiados","Claustro Universitario","Representante PAS GRANADA","NIETO JIMÉNEZ, MARÍA DOLORES","Personal de Administración y Servicios "
"Colegiados","Claustro Universitario","Representante PAS GRANADA","PÉREZ PÉREZ, ANTONIA","Personal de Administración y Servicios "
"Colegiados","Claustro Universitario","Representante PAS GRANADA","RODRÍGUEZ COTELO, MARGARITA","Personal de Administración y Servicios "
"Colegiados","Claustro Universitario","Representante PAS GRANADA","RODRÍGUEZ TORRALBA, NICETO","Personal de Administración y Servicios "
"Colegiados","Claustro Universitario","Representante PAS GRANADA","RUBIO MERCADO, PEDRO","Personal de Administración y Servicios "
"Colegiados","Claustro Universitario","Representante PAS GRANADA","RUÍZ MUÑOZ, ISABEL","Personal de Administración y Servicios "
"Colegiados","Claustro Universitario","Representante PAS GRANADA","SÁNCHEZ CONTRERAS, JOSÉ ANTONIO","Personal de Administración y Servicios "
"Colegiados","Claustro Universitario","Representante PAS GRANADA","TRINIDAD ALCÁZAR, GUILLERMINA","Personal de Administración y Servicios "
"Colegiados","Claustro Universitario","Representante PAS GRANADA","VALDERRAMA FERNÁNDEZ, JUAN GABRIEL","Personal de Administración y Servicios "
"Colegiados","Claustro Universitario","Representante PAS GRANADA","VERA SUANES, ALICIA","Personal de Administración y Servicios "
"Colegiados","Claustro Universitario","Representante PAS GRANADA","VACANTE","Personal de Administración y Servicios "
"Colegiados","Claustro Universitario","Representante PAS CEUTA","BENTOLILA HACHUEL, FORTUNA VIOLETA","Personal de Administración y Servicios "
"Colegiados","Claustro Universitario","Representante PAS MELILLA","LENFERDING MACAYO, MARÍA JOSÉ","Personal de Administración y Servicios "
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Rectora","Pilar Aranda Ramí­rez","Rectora"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Directora del Gabinete de la Rectora","Marí­a Elena Morales Torres","RPT - PAS"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Directora de Protocolo y Relaciones Institucionales","Manuela Suárez Pinilla","Directora de Secretariado"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Asesor Especial para la Rectora","José Antonio Lorente Acosta","Sin remuneración"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Secretario General","Pedro Mercado Pacheco","Vicerrector"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Vicesecretaria General","Inmaculada Ramos Tapia","Decana"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Directora del área de Transparencia y Simplificación Administrativa","Celia Garcí­a Fernández","RPT / PAS"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Director de los Servicios Jurí­dicos","Juan Luis Ruiz-Rico Dí­ez","RPT / PAS"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Director de la Oficina de Gestión de la Comunicación","José ángel Ibáñez Zapata","Decano"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Subdirector de la Oficina de Gestión de la Comunicación","José Gutiérrez Rodrí­guez","Director de Secretariado"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Directora de la Unidad de Calidad, Innovación y Prospectiva","Marí­a Teresa Pozo Llorente","Decana"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Directora de la Oficina de Datos, Información y Prospectiva","Aurora Inés del Rí­o Cabeza","Directora de Secretariado"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Directora del Secretariado de Evaluación, Mejora y Acreditación de Tí­tulos y de Servicios","Mª Angustias Navarro Ruiz","Directora de Secretariado"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Responsable Técnico del área de Evaluación y Mejora de Servicios","J. Claudio Gil Reyes","Secretario Departamento"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Responsable Técnico del área de Seguimiento y Acreditación de Tí­tulos y Centros","Pedro Rubio Mercado","Secretario Departamento"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Vicerrector","Ví­ctor Medina Flórez","Vicerrector"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Director del Centro de Cultura Contemporánea","Ricardo Anguita Cantero","Decano"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Directora del área de Artes Visuales","Amalia Belén Mazuecos Sánchez","Directora de Secretariado"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Directora de la Unidad de Cultura Cientí­fica","Ana Isabel Garcí­a López","Director de Secretariado"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Coordinador del área de Recursos Expositivos","ángel Garcí­a Roldán","Secretario Departamento"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Coordinador del área de Recursos Didácticos","Pilar Núñez Delgado","Secretario Departamento"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Coordinador del área de Recursos Gráficos y Edición","Antonio Collados Alcaide","Secretario Departamento"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Director del Secretariado de Conservación y Restauración","Jorge Alberto Durán Suárez","Director de Secretariado"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Directora del Secretariado de Bienes Culturales","Marí­a Luisa Bellido Gant","Directora de Secretariado"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Director del Centro Mediterráneo","óscar Barroso Fernández","Director de Secretariado"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Subdirectora del Centro Mediterráneo","Mª Vanesa Martos Núñez","Vicedecana"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Director del Herbario","Pedro Miguel Sánchez Castillo","Sin remuneración"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Vicerrector","José Antonio Naranjo Rodrí­guez","Vicerrector"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Directora de la Unidad de Becas y Asistencia al Estudiante","Josefa Marí­a González Pérez","Decana"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Director de la Unidad de Orientación Profesional y Empleabilidad","Antonio Delgado Padial","Decano"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Director de Orientación Académica","Juan Luis Bení­tez Muñoz","Director de Secretariado"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Directora del Secretariado de Coordinación con órganos de Representación y Gestión Estudiantil","Raquel Fuentes Garcí­a","Directora de Secretariado"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Directora del Secretariado de Información y Participación Estudiantil","Claudia Sandubete Bautista","Directora de Secretariado"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Directora del Secretariado de Asociacionismo, Cultura y Sociedad","Araceli Jurado Vigil","Directora de Secretariado"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Coordinador General de Acceso","Ceferino Ruiz Garrido","Decano"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Coordinadora General de Emprendimiento","Mª del Mar Fuentes Fuentes","Decana"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Vicerrectora","Marí­a del Pilar Carrasco Carrasco","Vicerrectora"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Director del Secretariado de PDI","Miguel ángel Garcí­a Rubio","Director de Secretariado"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Director del Secretariado de Plantilla y Planificación","Manuel Lozano Márquez","Director de Secretariado"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Vicerrector","Enrique Herrera Viedma","Vicerrector"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Director de Centros e Institutos de Investigación y Plan Propio","Fernando Cornet Sánchez del águila","Decano"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Director del Secretariado de Polí­tica Cientí­fica","Pedro ángel Castillo Valdivieso","Director de Secretariado"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Subdirectora de Plan Propio","Marí­a del Carmen Aguilar Luzón","Vicedecana"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Director del Laboratorio de Investigación en Cultura y Sociedad Digital","Esteban Romero Frí­as","Director de Secretariado"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Director de la Oficina de Proyectos","Miguel ángel Guardia","RPT / PAS"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Directora de Proyectos Internacionales / área de Promoción","Marí­a José Martí­n Bautista","Directora de Secretariado"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Director de Proyectos Internacionales / área de Gestión","José Antonio Carrillo","RPT / PAS"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Director de la Oficina de Transferencia de Resultados de Investigación","Jesús Banqueri Ozáez","Decano"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Subdirector de la Oficina de Transferencia de Resultados de Investigación","Rafael Garcí­a Gómez","Director de Secretariado"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Centro de Instrumentación Cientí­fica","Fco. Javier Romero Mora","RPT / PAS"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Directora de la Biblioteca Universitaria","Marí­a José Ariza Rubio","Directora de Secretariado"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Subdirector de la Biblioteca Universitaria","José Luis Sánchez-Lafuente Valencia","RPT / PAS"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Directora de la Editorial Universidad de Granada","Marí­a Isabel Cabrera Garcí­a","Decana"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Codirector del Centro Mixto MADOC-UGR","Jesús Banqueri Ozáez","Profesor Titular de Universidad"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Codirector del Centro Mixto MADOC-UGR","Antonio M. Peña Garcí­a","Secretario Departamento"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Vicerrectora","Marí­a López-Jurado Romero de la Cruz","Vicerrectora"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Director de los Estudios de Grado","Juan Manuel Martí­n Garcí­a","Decano"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Director de Ordenación Académica","Salvador Morales Ruano","Decano"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Director de la Escuela Internacional de Posgrado","Manuel ángel Garrido Ramos","Decano"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Directora del Secretariado de Másteres y Tí­tulos Propios","Concepción Rodrí­guez Marí­n","Directora de Secretariado"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Director de la Escuela de Doctorado de Ciencias, Tecnologí­as e Ingenierí­as","Antonio Garcí­a Casco","Director de Secretariado"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Director de la Escuela de Doctorado de Ciencias de la Salud","Marí­a Teresa Bajo Molina","Directora de Secretariado"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Director de la Escuela de Doctorado de Humanidades, Ciencias Sociales y Jurí­dicas","Francisco Contreras Cortés","Sin remuneración"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Director de Proyectos Internacionales / área de Gestión","José Antonio Carrillo","RPT / PAS"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Directora del Aula Permanente de Formación Abierta","Marí­a del Carmen Garcí­a Garnica","Directora de Secretariado"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Gerente","Marí­a del Mar Holgado","RPT / PAS"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Director","Manuel Pedro Rodrí­guez Bolí­var","Vicerrector"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Director del área Económico / Presupuestaria","Manuel Alonso Prados Prados","RPT / PAS"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Vicegerente de Personal Funcionario","Francisco Mesa Manzano","RPT / PAS"
"Equipo Amplio de Gobierno","Equipo Amplio de Gobierno","Vicegerente de Personal Laboral","Evaristo Molero Mesa","RPT / PAS"
