RAMAS,TITULACIÓN,HOMBRE,MUJER
ARTES Y HUMANIDADES,GRADO EN BELLAS ARTES,70,159
ARTES Y HUMANIDADES,GRADO EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURALES,12,41
ARTES Y HUMANIDADES,GRADO EN ESTUDIOS FRANCESES,19,56
ARTES Y HUMANIDADES,GRADO EN ESTUDIOS INGLESES,51,94
ARTES Y HUMANIDADES,GRADO EN ESTUDIOS ÁRABES E ISLÁMICOS,10,24
ARTES Y HUMANIDADES,GRADO EN FILOLOGÍA CLÁSICA,18,20
ARTES Y HUMANIDADES,GRADO EN FILOLOGÍA HISPÁNICA,19,52
ARTES Y HUMANIDADES,GRADO EN FILOSOFÍA,45,24
ARTES Y HUMANIDADES,GRADO EN HISTORIA,113,44
ARTES Y HUMANIDADES,GRADO EN HISTORIA DEL ARTE,43,102
ARTES Y HUMANIDADES,GRADO EN HISTORIA Y CIENCIAS DE LA MÚSICA,47,29
ARTES Y HUMANIDADES,GRADO EN LENGUAS MODERNAS Y SUS LITERATURAS,19,45
ARTES Y HUMANIDADES,GRADO EN LITERATURAS COMPARADAS,14,18
ARTES Y HUMANIDADES,GRADO EN TRADUCCIÓN E INTERPRETACIÓN,88,196
ARTES Y HUMANIDADES,LICENCIADO EN ANTROPOLOGÍA SOCIAL Y CULTURAL,195,310
ARTES Y HUMANIDADES,LICENCIADO EN BELLAS ARTES,443,603
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGÍA CLÁSICA,35,39
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGÍA ESLAVA,34,22
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGÍA FRANCESA,44,88
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGÍA HEBREA,5,2
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGÍA HISPÁNICA,467,214
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGÍA INGLESA,200,393
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGÍA ITALIANA,7,10
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGÍA PORTUGUESA,3,3
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGÍA ROMÁNICA,16,13
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGÍA ÁRABE,41,74
ARTES Y HUMANIDADES,LICENCIADO EN FILOSOFÍA,209,86
ARTES Y HUMANIDADES,LICENCIADO EN GEOGRAFÍA,90,29
ARTES Y HUMANIDADES,LICENCIADO EN HISTORIA,424,197
ARTES Y HUMANIDADES,LICENCIADO EN HISTORIA DEL ARTE,168,287
ARTES Y HUMANIDADES,LICENCIADO EN HISTORIA Y CIENCIAS DE LA MUSICA,73,71
ARTES Y HUMANIDADES,LICENCIADO EN TEORÍA DE LA LITERATURA Y LITERATURA COMPARADA,48,67
ARTES Y HUMANIDADES,LICENCIADO EN TRADUCCIÓN E INTERPRETACIÓN,482,923
CIENCIAS EXPERIMENTALES,DIPLOMADO EN ESTADÍSTICA,28,37
CIENCIAS EXPERIMENTALES,DIPLOMADO EN NUTRICIÓN HUMANA Y DIETÉTICA,64,194
CIENCIAS EXPERIMENTALES,DIPLOMADO EN ÓPTICA Y OPTOMETRÍA,128,258
CIENCIAS EXPERIMENTALES,GRADO EN BIOLOGÍA,136,150
CIENCIAS EXPERIMENTALES,GRADO EN BIOQUÍMICA,20,37
CIENCIAS EXPERIMENTALES,GRADO EN CIENCIAS AMBIENTALES,96,59
CIENCIAS EXPERIMENTALES,GRADO EN ESTADÍSTICA,45,18
CIENCIAS EXPERIMENTALES,GRADO EN FÍSICA,76,26
CIENCIAS EXPERIMENTALES,GRADO EN GEOLOGÍA,52,22
CIENCIAS EXPERIMENTALES,GRADO EN MATEMÁTICAS,70,51
CIENCIAS EXPERIMENTALES,GRADO EN QUÍMICA,45,48
CIENCIAS EXPERIMENTALES,GRADO EN ÓPTICA Y OPTOMETRÍA,43,88
CIENCIAS EXPERIMENTALES,LICENCIADO EN BIOLOGÍA,418,622
CIENCIAS EXPERIMENTALES,LICENCIADO EN BIOQUÍMICA,43,45
CIENCIAS EXPERIMENTALES,LICENCIADO EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS,52,172
CIENCIAS EXPERIMENTALES,LICENCIADO EN CIENCIAS AMBIENTALES,391,322
CIENCIAS EXPERIMENTALES,LICENCIADO EN CIENCIAS Y TÉCNICAS ESTADÍSTICAS,17,22
CIENCIAS EXPERIMENTALES,LICENCIADO EN FÍSICA,287,100
CIENCIAS EXPERIMENTALES,LICENCIADO EN GEOLOGÍA,116,56
CIENCIAS EXPERIMENTALES,LICENCIADO EN MATEMÁTICAS,157,111
CIENCIAS EXPERIMENTALES,LICENCIADO EN QUÍMICA,175,195
CIENCIAS SOCIALES Y JURÍDICAS,DIPLOMADO EN BIBLIOTECONOMÍA Y DOCUMENTACIÓN,56,68
CIENCIAS SOCIALES Y JURÍDICAS,DIPLOMADO EN CIENCIAS EMPRESARIALES,625,687
CIENCIAS SOCIALES Y JURÍDICAS,"DIPLOMADO EN CIENCIAS EMPRESARIALES ""CEUTA""",58,48
CIENCIAS SOCIALES Y JURÍDICAS,"DIPLOMADO EN CIENCIAS EMPRESARIALES ""MELILLA""",49,68
CIENCIAS SOCIALES Y JURÍDICAS,DIPLOMADO EN EDUCACIÓN SOCIAL,54,162
CIENCIAS SOCIALES Y JURÍDICAS,"DIPLOMADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA ""MELILLA""",13,11
CIENCIAS SOCIALES Y JURÍDICAS,DIPLOMADO EN RELACIONES LABORALES,489,844
CIENCIAS SOCIALES Y JURÍDICAS,"DIPLOMADO EN RELACIONES LABORALES ""MELILLA""",13,22
CIENCIAS SOCIALES Y JURÍDICAS,DIPLOMADO EN TRABAJO SOCIAL,130,383
CIENCIAS SOCIALES Y JURÍDICAS,DIPLOMADO EN TURISMO,161,390
CIENCIAS SOCIALES Y JURÍDICAS,GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,114,171
CIENCIAS SOCIALES Y JURÍDICAS,GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (CEUTA),20,17
CIENCIAS SOCIALES Y JURÍDICAS,GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (MELILLA),27,27
CIENCIAS SOCIALES Y JURÍDICAS,GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS Y DERECHO,54,89
CIENCIAS SOCIALES Y JURÍDICAS,GRADO EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,149,38
CIENCIAS SOCIALES Y JURÍDICAS,GRADO EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN,83,74
CIENCIAS SOCIALES Y JURÍDICAS,GRADO EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN Y DERECHO,47,56
CIENCIAS SOCIALES Y JURÍDICAS,GRADO EN COMUNICACIÓN AUDIOVISUAL,42,24
CIENCIAS SOCIALES Y JURÍDICAS,GRADO EN DERECHO,271,269
CIENCIAS SOCIALES Y JURÍDICAS,GRADO EN ECONOMÍA,150,109
CIENCIAS SOCIALES Y JURÍDICAS,GRADO EN EDUCACIÓN SOCIAL,25,99
CIENCIAS SOCIALES Y JURÍDICAS,GRADO EN FINANZAS Y CONTABILIDAD,55,75
CIENCIAS SOCIALES Y JURÍDICAS,GRADO EN GEOGRAFÍA Y GESTIÓN DEL TERRITORIO,41,16
CIENCIAS SOCIALES Y JURÍDICAS,GRADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),8,8
CIENCIAS SOCIALES Y JURÍDICAS,GRADO EN INFORMACIÓN Y DOCUMENTACIÓN,28,41
CIENCIAS SOCIALES Y JURÍDICAS,GRADO EN MAESTRO DE EDUCACIÓN INFANTIL,8,285
CIENCIAS SOCIALES Y JURÍDICAS,GRADO EN MAESTRO DE EDUCACIÓN INFANTIL (CEUTA),7,47
CIENCIAS SOCIALES Y JURÍDICAS,GRADO EN MAESTRO DE EDUCACIÓN INFANTIL (LA INMACULADA),10,147
CIENCIAS SOCIALES Y JURÍDICAS,GRADO EN MAESTRO DE EDUCACIÓN INFANTIL (MELILLA),6,38
CIENCIAS SOCIALES Y JURÍDICAS,GRADO EN MAESTRO EN EDUCACIÓN PRIMARIA,293,393
CIENCIAS SOCIALES Y JURÍDICAS,GRADO EN MAESTRO EN EDUCACIÓN PRIMARIA (CEUTA),47,56
CIENCIAS SOCIALES Y JURÍDICAS,GRADO EN MAESTRO EN EDUCACIÓN PRIMARIA (LA INMACULADA),155,162
CIENCIAS SOCIALES Y JURÍDICAS,GRADO EN MAESTRO EN EDUCACIÓN PRIMARIA (MELILLA),35,43
CIENCIAS SOCIALES Y JURÍDICAS,GRADO EN MARKETING E INVESTIGACIÓN DE MERCADOS,63,68
CIENCIAS SOCIALES Y JURÍDICAS,GRADO EN PEDAGOGÍA,17,108
CIENCIAS SOCIALES Y JURÍDICAS,GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS,166,257
CIENCIAS SOCIALES Y JURÍDICAS,GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS (MELILLA),5,7
CIENCIAS SOCIALES Y JURÍDICAS,GRADO EN SOCIOLOGÍA,54,84
CIENCIAS SOCIALES Y JURÍDICAS,GRADO EN TRABAJO SOCIAL,38,142
CIENCIAS SOCIALES Y JURÍDICAS,GRADO EN TURISMO,41,102
CIENCIAS SOCIALES Y JURÍDICAS,LDO. EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS Y DERECHO,256,450
CIENCIAS SOCIALES Y JURÍDICAS,LICENCIADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,873,1094
CIENCIAS SOCIALES Y JURÍDICAS,LICENCIADO EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,964,222
CIENCIAS SOCIALES Y JURÍDICAS,LICENCIADO EN CIENCIAS DEL TRABAJO,113,249
CIENCIAS SOCIALES Y JURÍDICAS,LICENCIADO EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN,446,181
CIENCIAS SOCIALES Y JURÍDICAS,LICENCIADO EN CIENCIAS POLÍTICAS Y DE LA ADMON. Y DERECHO,143,204
CIENCIAS SOCIALES Y JURÍDICAS,LICENCIADO EN COMUNICACIÓN AUDIOVISUAL,101,75
CIENCIAS SOCIALES Y JURÍDICAS,LICENCIADO EN DERECHO,1254,1459
CIENCIAS SOCIALES Y JURÍDICAS,LICENCIADO EN DOCUMENTACIÓN,45,74
CIENCIAS SOCIALES Y JURÍDICAS,LICENCIADO EN ECONOMÍA,721,680
CIENCIAS SOCIALES Y JURÍDICAS,LICENCIADO EN INVESTIGACIÓN Y TÉCNICAS DE MERCADO,111,111
CIENCIAS SOCIALES Y JURÍDICAS,LICENCIADO EN PEDAGOGÍA,178,659
CIENCIAS SOCIALES Y JURÍDICAS,LICENCIADO EN PSICOLOGÍA,435,1139
CIENCIAS SOCIALES Y JURÍDICAS,LICENCIADO EN PSICOPEDAGOGÍA,139,465
CIENCIAS SOCIALES Y JURÍDICAS,"LICENCIADO EN PSICOPEDAGOGÍA ""CEUTA""",22,46
CIENCIAS SOCIALES Y JURÍDICAS,"LICENCIADO EN PSICOPEDAGOGÍA ""MELILLA""",16,51
CIENCIAS SOCIALES Y JURÍDICAS,LICENCIADO EN SOCIOLOGÍA,227,239
CIENCIAS SOCIALES Y JURÍDICAS,LICENCIATURA EN DERECHO,1,1
