Artículo,Concepto,Subconcepto,Denominación,Importe,Financiación no afectada,Financiación afectada o finalista
82 Reintegro de préstamos concedidos,921 Préstamos Recibidos de moneda Nacional,92100,A corto plazo del sector público,1450000,,1450000
82 Reintegro de préstamos concedidos,921 Préstamos Recibidos de moneda Nacional,92101,A largo plazo del secor público,0,,0
