CURSO , VARONES , MUJERES , TOTALES 
PRIMERO , 5346 , 7293 , 12639 
SEGUNDO , 5586 , 7726 , 13312 
TERCERO , 5992 , 7240 , 13232 
CUARTO , 3528 , 4501 , 8029 
QUINTO , 4677 , 5520 , 10197 
SEXTO , 155 , 254 , 409 
