, VARONES, , MUJERES, , TOTALES, 
CURSO , NOREP, REPET , NOREP, REPET , NOREP, REPET 
PRIMERO , 4657,689 , 6558,735 , 11215,1424 
SEGUNDO , 3649,1937 , 5320,2406 , 8969,4343 
TERCERO , 2894,3098 , 4383,2857 , 7277,5955 
CUARTO , 2150,1378 , 2742,1759 , 4892,3137 
QUINTO , 2016,2661 , 2549,2971 , 4565,5632 
SEXTO , 100,55 , 182,72 , 282,127 
