, VARONES, , MUJERES, , TOTALES, 
CURSO , NOREP, REPET , NOREP, REPET , NOREP, REPET 
PRIMERO , 0,3 , 0,2 , 0,5 
SEGUNDO , 6,17 , 3,19 , 9,36 
TERCERO , 5,36 , 5,28 , 10,64 
CUARTO , 11,32 , 6,40 , 17,72 
QUINTO , 8,78 , 12,65 , 20,143 
SEXTO , 0,0 , 0,0 , 0,0 
