del , con asignaturas de 
CURSO , PRIMERO , SEGUNDO , TERCERO , CUARTO , QUINTO , SEXTO 
PRIMERO , 5 , , , , , 
SEGUNDO , 9 , 27 , , , , 
TERCERO , 6 , 29 , 32 , , , 
CUARTO , 2 , 22 , 31 , 35 , , 
QUINTO , 10 , 20 , 41 , 75 , 54 , 
SEXTO , 0 , 0 , 0 , 0 , 0 , 0 
