del , con asignaturas de 
CURSO , PRIMERO , SEGUNDO , TERCERO , CUARTO , QUINTO , SEXTO 
PRIMERO , 3 , , , , , 
SEGUNDO , 6 , 17 , , , , 
TERCERO , 5 , 21 , 18 , , , 
CUARTO , 2 , 13 , 21 , 18 , , 
QUINTO , 2 , 15 , 28 , 42 , 32 , 
SEXTO , 0 , 0 , 0 , 0 , 0 , 0 
