LUGAR DE RESIDENCIA , VARONES , MUJERES , TOTALES 
ALBACETE , 0 , 1 , 1 
ALICANTE , 2 , 0 , 2 
ALMERIA , 6 , 11 , 17 
BADAJOZ , 1 , 0 , 1 
BARCELONA , 1 , 6 , 7 
BURGOS , 1 , 0 , 1 
CADIZ , 13 , 6 , 19 
CASTELLON , 0 , 1 , 1 
CEUTA , 4 , 4 , 8 
CIUDAD REAL , 0 , 3 , 3 
CORDOBA , 5 , 4 , 9 
CORUÑA LA , 1 , 0 , 1 
EXTRANJERO , 9 , 17 , 26 
GRANADA , 65 , 51 , 116 
GUADALAJARA , 0 , 1 , 1 
GUIPUZCUA , 1 , 0 , 1 
HUELVA , 0 , 1 , 1 
JAEN , 28 , 20 , 48 
LA RIOJA , 0 , 1 , 1 
MADRID , 2 , 3 , 5 
MALAGA , 20 , 9 , 29 
MELILLA , 1 , 3 , 4 
MURCIA , 6 , 5 , 11 
NAVARRA , 1 , 0 , 1 
PALMAS LAS , 2 , 0 , 2 
PONTEVEDRA , 1 , 0 , 1 
SEVILLA , 5 , 1 , 6 
SORIA , 0 , 1 , 1 
TERUEL , 0 , 1 , 1 
TOLEDO , 1 , 0 , 1 
VALENCIA , 1 , 0 , 1 
VALLADOLID , 1 , 0 , 1 
VIZCAYA , 1 , 1 , 2 
ZARAGOZA , 0 , 1 , 1 
ALEMANIA , 0 , 1 , 1 
AUSTRALIA , 0 , 1 , 1 
ESPANA , 3 , 6 , 9 
FRANCIA , 1 , 1 , 2 
HOLANDA (PAISES BAJO , 0 , 1 , 1 
MARRUECOS , 1 , 2 , 3 
IN ESPECIFICAR , 12 , 16 , 28 
