NACIONALIDAD , VARONES , MUJERES , TOTALES 
ALEMANIA , 1 , 0 , 1 
ESPANA , 166 , 143 , 309 
MARRUECOS , 10 , 16 , 26 
IN ESPECIFICAR , 19 , 21 , 40 
