del , con asignaturas de 
CURSO , PRIMERO , SEGUNDO , TERCERO , CUARTO , QUINTO , SEXTO 
PRIMERO , 2 , , , , , 
SEGUNDO , 5 , 17 , , , , 
TERCERO , 2 , 13 , 19 , , , 
CUARTO , 2 , 17 , 20 , 22 , , 
QUINTO , 9 , 8 , 16 , 47 , 26 , 
SEXTO , 0 , 0 , 0 , 0 , 0 , 0 
