CURSO , VARONES , MUJERES , TOTALES 
PRIMERO , 3 , 2 , 5 
SEGUNDO , 23 , 22 , 45 
TERCERO , 41 , 33 , 74 
CUARTO , 43 , 46 , 89 
QUINTO , 86 , 77 , 163 
SEXTO , 0 , 0 , 0 
