del , con asignaturas de 
CURSO , PRIMERO , SEGUNDO , TERCERO , CUARTO , QUINTO , SEXTO 
PRIMERO , 5 , , , , , 
SEGUNDO , 11 , 34 , , , , 
TERCERO , 7 , 34 , 37 , , , 
CUARTO , 4 , 30 , 41 , 40 , , 
QUINTO , 11 , 23 , 44 , 89 , 58 , 
SEXTO , 0 , 0 , 0 , 0 , 0 , 0 
