,2005,2006,2007,2008,2009,2010
Becas FPU,204,208,216,206,261,273
Becas FPI,77,85,69,70,90,87
Contrato de Investigación con cargo a…,218,190,273,246,229,211
Contrato Personal Técnico con cargo a…,65,67,146,177,149,125
