,2005,2006,2007,2008,2009,2010
Plan Nacional,95,104,109,123,105,111
Plan Nacional," 6,401,405 € "," 7,398,468 € "," 8,549,668 € "," 10,917,830 € "," 9,709,161 € "," 8,831,911 € "
Plan Andaluz - Excelencia,-,54,80,80,46,50
Plan Andaluz,-," 6,294,902 € "," 11,833,030 € "," 18,659,254 € "," 8,703,394 € "," 8,097,540 € "
Proyectos FIS,11,8,7,3,1,8
Proyectos FIS," 529,345 € "," 475,524 € "," 560,775 € "," 300,707 € "," 226,028 € "," 480,000 € "
Acciones Complementarias,5,29,25,26,31,16
Acciones Complementarias," 42,000 € "," 510,400 € "," 336,499 € "," 249,300 € "," 462,400 € "," 165,700 € "
