Acronym,Call,Inicio,Fin,Responsable,Departamento,Cantidad recibida,Total Proyecto (*),PARTICIPACIÓN
PRECISESADS,FP7-IMI-2012,1/1/2014,12/31/2019,Antonio Segura Carretero,Quí­mica Analí­tica,419580,549480,SOCIO
PsyCris,FP7-SEC-2012-1,7/1/2013,6/30/2016,"Fernández Santaella, Marí­a del Carmen","Personalidad, Evaluación y Tratamiento Psicológico",410836,509048,SOCIO
QCDense,FP7-PEOPLE-2013-CIG,9/1/2014,8/31/2018,"López Albacete, Javier",Fí­sica Teórica y del Cosmos,100000,100000,INDIVIDUAL
REAL-TIME ASoC,FP7-PEOPLE-2012-IOF,5/7/2013,5/6/2016,"Ros Vidal, Eduardo/Barranco Expósito, Francisco",Arquitectura y Tecnologí­a de Computadores,"254925,9","254925,9",INDIVIDUAL
REALNET,FP7-ICT-2009-6,2/1/2011,1/31/2014,"Ros Vidal, Eduardo",Arquitectura y Tecnologí­a de Computadores,272040,357920,SOCIO
RECOMP,ARTEMIS-2009-1,4/1/2010,3/31/2013,"Dí­az Alonso, Javier",Arquitectura y Tecnologí­a de Computadores,289275,578550,SOCIO
RSM-Microsphere-IPSC,FP7-PEOPLE-2011-CIG,9/1/2011,8/31/2015,"Sánchez Martí­n, Rosario",Quí­mica Farmacéutica y Orgánica,100000,100000,INDIVIDUAL
SMF-PIE,FP7-PEOPLE-ERG-2008,12/1/2008,12/9/2011,"Álvarez Pez, Jose Marí­a/Orte Gutiérrez, Ángel",Fisicoquí­mica,45000,45000,INDIVIDUAL
SUP&R ITN,FP7-PEOPLE-2013-ITN,10/1/2013,9/30/2017,"Rubio Gámez, MÂª Carmen",Ingenierí­a de la Construcción y Proyectos de Ingenierí­a,"229891,62","229891,62",SOCIO
TDSEXPOSURE,FP7-KBBE-2011-5,2/1/2012,1/31/2016,"Martí­nez de Victoria, Emilio",Fisiologí­a,"35408,67","46422,22",SOCIO
TEE-OFF,FP7-PEOPLE-2011-IIF,8/1/2012,9/25/2014,"Gómez Reyes, José Marí­a/Rubio de Casas, Rafael",Ecologí­a,"233705,2","233705,2",INDIVIDUAL
THROUGHFLOW,FP7-PEOPLE-ITN-2008,1/1/2010,12/31/2013,"Braga Alarcón, Juan Carlos",Estratigrafí­a y Paleontologí­a,"399755,9","399755,9",SOCIO
TOMSY,FP7-ICT-2009-6,4/1/2011,3/31/2014,"Ros Vidal, Eduardo",Arquitectura y Tecnologí­a de Computadores,434000,578000,SOCIO
TRAPSENSOR,ERC-2011-StG_20101014,11/1/2011,10/31/2016,"Rodrí­guez Ruabiales, Daniel",Fí­sica Atómica Molecular y Nuclear,1499280,1499280,INDIVIDUAL
