TIPO DE PROYECTO,REFERENCIA,TITULO,ENTIDAD SOLICITANTE,CENTRO,DURACIÓN (AÑOS),COSTES DIRECTOS (EUROS),CONTRATOS PREDOC.,INVESTIGADOR PRINCIPAL
PROGRAMA ESTATAL DE FOMENTO DE LA INVESTIGACIÓN CIENTÍFICA Y TÉCNICA DE EXCELENCIA,HAR2013-48423-P,DE ACCI A GUADIX. REINTERPRETANDO EL PASADO DE UNA CIUDAD HISTORICA PARA PROTEGER SU PATRIMONIO Y CONTRIBUIR A SU DESARROLLO (GRANADA),UNIVERSIDAD DE GRANADA,FACULTAD DE FILOSOFIA Y LETRAS,3,38000,0,Jose Mª Martin Civantos
PROGRAMA ESTATAL DE FOMENTO DE LA INVESTIGACIÓN CIENTÍFICA Y TÉCNICA DE EXCELENCIA,SAF2013-47481-P,PAPEL DE LOS RECEPTORES SIGMA-1 EN EL DOLOR INFLAMATORIO,UNIVERSIDAD DE GRANADA,FACULTAD DE MEDICINA,2,69000,0,Enrique Jose Cobos Del Moral
PROGRAMA ESTATAL DE FOMENTO DE LA INVESTIGACIÓN CIENTÍFICA Y TÉCNICA DE EXCELENCIA,PSI2013-41098-P,DOBLE DISOCIACION ENTRE EL SISTEMA HIPOCAMPAL DORSAL Y EL VENTRAL EN DIFERENTES MODALIDADES DE APRENDIZAJE Y MEMORIA EN RATAS,UNIVERSIDAD DE GRANADA,FACULTAD DE PSICOLOGIA,3,14000,0,Juan Manuel Jimenez Ramos
PROGRAMA ESTATAL DE FOMENTO DE LA INVESTIGACIÓN CIENTÍFICA Y TÉCNICA DE EXCELENCIA,PSI2013-42729-P,"PERCEPCION DE PELIGROS, CONCIENCIA SITUACIONAL Y TOMA DE DECISONES EN CONDUCCION",UNIVERSIDAD DE GRANADA,FACULTAD DE PSICOLOGIA,3,34000,0,Candida Castro Ramirez
PROGRAMA ESTATAL DE FOMENTO DE LA INVESTIGACIÓN CIENTÍFICA Y TÉCNICA DE EXCELENCIA,PSI2013-43777-P,SIGNIFICACION MOTIVACIONAL DE LOS ESTIMULOS DE COMIDA: SU RELEVANCIA EN LA EXPLICACION DE LA BULIMIA NERVIOSA Y LA OBESI DAD,UNIVERSIDAD DE GRANADA,FACULTAD DE PSICOLOGIA,3,30000,0,Maria Del Carmen Fernandez-Santaella Santiago
PROGRAMA ESTATAL DE I+D+I ORIENTADA A LOS RETOS DE LA SOCIEDAD,CGL2013-45410-R,SEGUIMIENTO REGIONAL DEL AEROSOL ATMOSFERICO EN TRES DIMENSIONES COMBINANDO LIDAR MULTIESPECTRAL Y RED DE CEILOMETROS-RADIOMETROS.,UNIVERSIDAD DE GRANADA,CENTRO ANDALUZ DE MEDIO AMBIENTE - CEAMA,3,198000,1,Lucas Alados Arboledas
PROGRAMA ESTATAL DE I+D+I ORIENTADA A LOS RETOS DE LA SOCIEDAD,SAF2013-47761-R,"ESTUDIO PRECLINICO PARA EL TRATAMIENTO DE LA
ENCEFALOPATIA MITOCONDRIAL ASOCIADA A DEFICIENCIA EN COENZIMA Q",UNIVERSIDAD DE GRANADA,CENTRO DE INVESTIGACION BIOMEDICA,2,85000,0,Luis Carlos Lopez Garcia
PROGRAMA ESTATAL DE I+D+I ORIENTADA A LOS RETOS DE LA SOCIEDAD,TIN2013-41990-R,HACIA LA MEDICINA PERSONALIZADA: DESARROLLO DE METODOS DE INTELIGENCIA ARTIFICIAL PARA IDENTIFICAR NUEVOS MARCADORES GENETICOS Y EPIGENETICOS. APLICACION AL CANCER COLONRECTAL,UNIVERSIDAD DE GRANADA,DPTO. CIENCIAS COMPUTACION E INTELIGENCIA ARTIFICIAL,3,109559,0,Armando Blanco Moron
PROGRAMA ESTATAL DE I+D+I ORIENTADA A LOS RETOS DE LA SOCIEDAD,TIN2013-43880-R,"IMAGENES MILIMETRICAS PASIVAS: CAPTACION, MEJORA Y DETECCION DE AMENAZAS",UNIVERSIDAD DE GRANADA,DPTO. CIENCIAS COMPUTACION E INTELIGENCIA ARTIFICIAL,3,105700,1,Rafael Molina Soriano
PROGRAMA ESTATAL DE I+D+I ORIENTADA A LOS RETOS DE LA SOCIEDAD,FIS2013-41821-R,"TEJIDOS BIOLOGICOS CON PROPIEDADES MECANICAS
CONTROLABLES MEDIANTE CAMPOS MAGNETICOS",UNIVERSIDAD DE GRANADA,DPTO. FISICA APLICADA,4,65000,0,Modesto Torcuato Lopez Lopez
PROGRAMA ESTATAL DE I+D+I ORIENTADA A LOS RETOS DE LA SOCIEDAD,FIS2013-47666-C3-1-R,"PROPIEDADES ELECTRICAS DE LA INTERFASE
SOLIDO/DISOLUCION. MODELOS TEORICOS Y APLICACIONES A LA OBTENCION DE ENERGIA ELECTRICA POR CAMBIO DE SALINIDAD",UNIVERSIDAD DE GRANADA,DPTO. FISICA APLICADA,3,71700,0,Angel Vicente Delgado Mora
PROGRAMA ESTATAL DE I+D+I ORIENTADA A LOS RETOS DE LA SOCIEDAD,MAT2013-43922-R,"RELACION ENTRE PROPIEDADES FISICO-QUIMICAS DE
SISTEMAS COLOIDALES Y SU EFICACIA EN APLICACIONES NANOBIOMEDICAS",UNIVERSIDAD DE GRANADA,DPTO. FISICA APLICADA,4,57143,0,Ana Belen Jodar Reyes
PROGRAMA ESTATAL DE I+D+I ORIENTADA A LOS RETOS DE LA SOCIEDAD,MAT2013-44429-R,"AUTOENSAMBLADO Y COMPORTAMIENTO EN FLUJO DE
FLUIDOS MAGNETO-REOLOGICOS FUERTEMENTE CONFINADOS",UNIVERSIDAD DE GRANADA,DPTO. FISICA APLICADA,3,163265,1,Juan De Vicente Alvarez-Manzaneda
PROGRAMA ESTATAL DE I+D+I ORIENTADA A LOS RETOS DE LA SOCIEDAD,BIO2013-40697-R,DETERMINANTES ESTRUCTURALES Y TERMODINAMICOS DE LA CITOTOXICIDAD DE LOS OLIGOMEROS DE BETA- AMILOIDE. IMPLICACIONES EN EL ALZHEIMER,UNIVERSIDAD DE GRANADA,DPTO. QUIMICA FISICA,3,150000,0,Francisco Conejero Lara
PROGRAMA ESTATAL DE I+D+I ORIENTADA A LOS RETOS DE LA SOCIEDAD,TIN2013-48319-R,"ESTUDIO DE TECNOLOGIAS INTELIGENTES PARA LA
MONITORIZACION DE ENTORNOS EN LA RED",UNIVERSIDAD DE GRANADA,"ESCUELA TECNICA SUPERIOR DE
INGENIERIA INFORMATICA",3,33150,0,Jose Manuel Zurita Lopez
PROGRAMA ESTATAL DE I+D+I ORIENTADA A LOS RETOS DE LA SOCIEDAD,TIN2013-47276-C6-3-R,AVANCES EN CONTENIDO DIGITAL PARA SERIOUS GAMES,UNIVERSIDAD DE GRANADA,"E.T.S. DE INGENIERIAS
INFORMATICA Y DE TELECOMUNICACION",3,34689,0,Carlos Ureña Almagro
PROGRAMA ESTATAL DE I+D+I ORIENTADA A LOS RETOS DE LA SOCIEDAD,AGL2013-49090-C2-2-R,"CARACTERIZACION BIOINFORMATICA DE LAS REGIONES
REGULADORAS DE LA RESISTENCIA A ARAÑA ROJA EN TOMATE",UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,3,70000,0,Jose-Lutgardo Oliver Jimenez
PROGRAMA ESTATAL DE I+D+I ORIENTADA A LOS RETOS DE LA SOCIEDAD,CGL2013-43013-R,"FORMACIONES CONTINENTALES COMO POTENCIALES
ROCAS ALMACEN CONVENCIONALES Y NO CONVENCIONALES: CARACTERIZACION DE AFLORAMIENTO
Y SUBSUELO",UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,4,130000,0,Cesar Viseras Alarcon
PROGRAMA ESTATAL DE I+D+I ORIENTADA A LOS RETOS DE LA SOCIEDAD,CGL2013-46655-R,REUTILIZACION DE RESTOS DE AGRICOLAS EN SUELOS PARA LA OPTIMIZACION DE RECURSOS EN CULTIVOS SUBTROPICALES: HACIA UNA PROPUESTA INTEGRAL,UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,4,94000,0,Emilia Fernandez Ondoño
PROGRAMA ESTATAL DE I+D+I ORIENTADA A LOS RETOS DE LA SOCIEDAD,CGL2013-47038-R,"CAMBIO AMBIENTAL Y CLIMATICO EN EL SUR DE EUROPA -
EL REGISTRO PALEOECOLOGICO DE PADUL, SIERRA NEVADA",UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,4,84000,1,Gonzalo Jimenez Moreno
PROGRAMA ESTATAL DE I+D+I ORIENTADA A LOS RETOS DE LA SOCIEDAD,CGL2013-48539-R,IMPACTOS DEL CAMBIO CLIMATICO EN LOS RECURSOS HIDRICOS DE LA CUENCA DEL DUERO A ALTA RESOLUCION,UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,4,169000,0,Maria Jesus Esteban Parra
PROGRAMA ESTATAL DE I+D+I ORIENTADA A LOS RETOS DE LA SOCIEDAD,CTM2013-46951-R,"RESTAURACION DE ECOSISTEMAS ACUATICOS MEDIANTE
NANOPARTICULAS MAGNETICAS: EFECTOS ECOTOXICOLOGICOS Y RECUPERACION DEL FOSFORO COMO FERTILIZANTE",UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,3,117000,1,Inmaculada De Vicente Alvarez Manzaneda
PROGRAMA ESTATAL DE I+D+I ORIENTADA A LOS RETOS DE LA SOCIEDAD,CTQ2013-44545-R,"DISPOSITIVOS ANALITICOS IMPRESOS SOBRE SUSTRATO
FLEXIBLE",UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,3,117000,0,Luis Fermin Capitan Vallvey
PROGRAMA ESTATAL DE I+D+I ORIENTADA A LOS RETOS DE LA SOCIEDAD,CTQ2013-44789-R,"REDUCCION DE EMISIONES DE CO2 Y TECNOLOGIAS DE
ALMACENAMIENTO DE ENERGIAS RENOVABLES EMPLEANDO MATERIALES AVANZADOS DE CARBON",UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,3,131000,0,Agustin Francisco Perez Cadenas
PROGRAMA ESTATAL DE I+D+I ORIENTADA A LOS RETOS DE LA SOCIEDAD,ECO2013-48413-R,"EFICIENCIA, FACTORES SOCIOECONOMICOS Y PRESTACION SERVICIOS PUBLICOS LOCALES MEDIANTE TECNICAS DE CLASIFICACION, ASOCIACION DE DISTANCIAS Y UNFOLDING",UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,3,27000,0,Jose Fernando Vera Vera
PROGRAMA ESTATAL DE I+D+I ORIENTADA A LOS RETOS DE LA SOCIEDAD,FIS2013-42204-R,"EVALUACION, IMPACTO Y MEJORA DE LA CALIDAD VISUAL EN SITUACIONES COTIDIANAS Y TRAS CIRUGIA OCULAR",UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,3,42000,0,Mª Rosario González Anera
PROGRAMA ESTATAL DE I+D+I ORIENTADA A LOS RETOS DE LA SOCIEDAD,MAT2013-43946-R,"METODOS OPTICOS NO-INVASIVOS Y SISTEMAS
INTELIGENTES PARA EVALUAR BIOMATERIALES NANOESTRUCTURADOS: APLICACION EN MEDICINA REGENERATIVA Y ODONTOLOGIA",UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,3,40816,0,Maria Del Mar Perez Gomez
PROGRAMA ESTATAL DE I+D+I ORIENTADA A LOS RETOS DE LA SOCIEDAD,SAF2013-48971-C2-1-R,APLICACIONES BIOMEDICAS DE AS-48: UNA PROTEINA CON AMPLIO ESPECTRO DE ACTIVIDAD ANTIMICROBIANA,UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,3,100000,0,Mercedes Maqueda Abreu
PROGRAMA ESTATAL DE I+D+I ORIENTADA A LOS RETOS DE LA SOCIEDAD,TEC2013-47283-R,MODELADO DE CELULAS SOLARES BASADAS EN PUNTOS CUANTICOS Y SEMICONDUCTORES ORGANICOS,UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,2,19800,0,Salvador Rodriguez Bolivar
PROGRAMA ESTATAL DE I+D+I ORIENTADA A LOS RETOS DE LA SOCIEDAD,TEC2013-48414-C3-1-R,"ANALISIS NUMERICO Y EXPERIMENTAL DE LA INMUNIDAD
ELECTROMAGNETICA DE UAV BAJO EFECTOS INDIRECTOS DE RAYOS Y HIRF",UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,3,141000,0,Salvador Gonzalez Garcia
PROGRAMA ESTATAL DE I+D+I ORIENTADA A LOS RETOS DE LA SOCIEDAD,DEP2013-40908-R,"SEGUIMIENTO LONGITUDINAL Y MODULACION GENETICA EN FIBROMIALGIA. EFECTOS DEL EJERCICIO FISICO Y LA HIDROTERAPIA EN DOLOR, SALUD Y CALIDAD DE VIDA",UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS DE LA ACTIVIDAD FISICA Y EL DEPORTE,3,100000,1,Manuel Delgado Fernandez
PROGRAMA ESTATAL DE I+D+I ORIENTADA A LOS RETOS DE LA SOCIEDAD,DEP2013-47540-R,"EFECTOS DE UN ENSAYO ALEATORIZADO BASADO EN
EJERCICIO FISICO SOBRE LA FUNCION COGNITIVA Y EL CEREBRO (FUNCTIONAL Y STRUCTURALMENTE) EN PREADOLESCENTES CON SOBREPESO/OBESIDAD",UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS DE LA ACTIVIDAD FISICA Y EL DEPORTE,2,120000,1,Francisco B Ortega Porcel
PROGRAMA ESTATAL DE I+D+I ORIENTADA A LOS RETOS DE LA SOCIEDAD,DEP2013-48211-R,"LA CONDICION FISICA COMO MEDIADOR DEL IMPACTO DE
LA CARGA MENTAL EXPERIMENTADA POR PILOTOS DE AVIACION MILITARES",UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS DE LA ACTIVIDAD FISICA Y EL DEPORTE,3,50000,0,David Cardenas Velez
PROGRAMA ESTATAL DE I+D+I ORIENTADA A LOS RETOS DE LA SOCIEDAD,ECO2013-44879-R,"CARACTERISTICAS INDIVIDUALES, PREFERENCIAS Y BIENESTAR, ASIGNACIONES EFICIENTES",UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES,3,33800,0,Teresa Maria Garcia Muñoz
PROGRAMA ESTATAL DE I+D+I ORIENTADA A LOS RETOS DE LA SOCIEDAD,DER2013-48416-C2-1-R,"REMODELANDO EL EMPLEO PUBLICO Y LA ORGANIZACION
ADMINISTRATIVA PARA GARANTIZAR EL ESTADO DEL BIENESTAR",UNIVERSIDAD DE GRANADA,FACULTAD DE DERECHO,3,47000,0,Federico A. Castillo Blanco
PROGRAMA ESTATAL DE I+D+I ORIENTADA A LOS RETOS DE LA SOCIEDAD,PSI2013-42792-R,"FUNCIONAMIENTO NEUROPSICOLOGICO Y CEREBRAL DE
MALTRATADORES DE GENERO",UNIVERSIDAD DE GRANADA,FACULTAD DE PSICOLOGIA,3,75000,1,Miguel Perez Garcia
PROGRAMA ESTATAL DE I+D+I ORIENTADA A LOS RETOS DE LA SOCIEDAD,SAF2013-45752-R,"MECANISMOS MOLECULARES DEL EFECTO ANTI-OBESIDAD
DE LA MELATONINA EN LA RATA ZUCKER OBESA Y DIABETICA",UNIVERSIDAD DE GRANADA,INSTITUTO DE NEUROCIENCIAS FEDERICO OLORIZ,3,52000,0,Ahmad Agil Abdalla
PROGRAMA ESTATAL DE I+D+I ORIENTADA A LOS RETOS DE LA SOCIEDAD,SAF2013-40891-R,ESTUDIO DEL POSICIONAMIENTO DE NUCLEOSOMAS EN CROMATINA BIVALENTE EN CELULAS PLURIPOTENTES,UNIVERSIDAD DE GRANADA,DPTO. CIENCIAS COMPUTACION E INTELIGENCIA ARTIFICIAL,3,90000,0,David Landeira Frias
PROGRAMA ESTATAL DE I+D+I ORIENTADA A LOS RETOS DE LA SOCIEDAD,CSO2013-43266-R,CONSTRUYENDO DIFERENCIAS EN LA ESCULA. ESTUDIOS DE LAS TRAYECTORIAS DE LAS ATAL EN ANDALUCIA DE SU PROFESORADO Y DE SU ALUMNADO,UNIVERSIDAD DE GRANADA,INSTITUTO DE MIGRACIONES,3,26000,0,F. Javier Garcia Castaño
