TIPO DE PROYECTO,REFERENCIA,TITULO,ENTIDAD SOLICITANTE,CENTRO,DURACIÓN (AÑOS),COSTES DIRECTOS (EUROS),CONTRATOS PREDOC.,INVESTIGADOR PRINCIPAL
PROGRAMA ESTATAL DE FOMENTO DE LA INVESTIGACIÓN CIENTÍFICA Y TÉCNICA DE EXCELENCIA,HAR2013-41728-P,MODELOS DE FOMENTO Y APRECIACION EN LAS ARTES. DEL REFORMISMO LIBERAL AL FIN DE LA AUTARQUIA (1925-1957),UNIVERSIDAD DE GRANADA,DPTO. HISTORIA DEL ARTE Y MUSICA,3,40000,0,Maria Dolores Caparros Masegosa
PROGRAMA ESTATAL DE FOMENTO DE LA INVESTIGACIÓN CIENTÍFICA Y TÉCNICA DE EXCELENCIA,HAR2013-42794-P,ESCLAVITUD Y RESCATE: TRAFICO HUMANO E INSEGURIDAD EN EL MEDITERRANEO OCCIDENTAL (SIGLOS XV AL XIX),UNIVERSIDAD DE GRANADA,FACULTAD DE FILOSOFIA Y LETRAS,3,34000,0,Aurelia Martin Casares
PROGRAMA ESTATAL DE FOMENTO DE LA INVESTIGACIÓN CIENTÍFICA Y TÉCNICA DE EXCELENCIA,HAR2013-47779-C3-1-P,"MOVILIZACION COLECTIVA, CONFLICTIVIDAD Y DIFUSION DE ACTITUDES DEMOCRATICAS ENTRE LA POBLACION RURAL ANDALUZA DURANTE EL TARDOFRANQUISMO Y LA TRANSICION POLITICA, 1962-1982",UNIVERSIDAD DE GRANADA,FACULTAD DE FILOSOFIA Y LETRAS,3,26000,0,Francisco Cobo Romero
PROGRAMA ESTATAL DE FOMENTO DE LA INVESTIGACIÓN CIENTÍFICA Y TÉCNICA DE EXCELENCIA,HAR2013-48658-C2-1-P,"MUSICA DURANTE LA GUERRA CIVIL Y EL FRANQUISMO (1936-1960): CULTURAS POPULARES, VIDA MUSICAL E INTERCAMBIOS HISPANO-AMERICANOS",UNIVERSIDAD DE GRANADA,FACULTAD DE FILOSOFIA Y LETRAS,3,36000,0,Gemma Perez Zalduondo
PROGRAMA ESTATAL DE FOMENTO DE LA INVESTIGACIÓN CIENTÍFICA Y TÉCNICA DE EXCELENCIA,MTM2013-41992-P,ESTRUCTURAS ALGEBRAICAS NO CONMUTATIVAS: APPLICACIONES,UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,3,38724,0,Jose Gomez Torrecillas
PROGRAMA ESTATAL DE FOMENTO DE LA INVESTIGACIÓN CIENTÍFICA Y TÉCNICA DE EXCELENCIA,MTM2013-43970-P,GEOMETRIA GLOBAL DE SUPERFICIES Y ECUACIONES DIFERENCIALES NO LINEALES ASOCIADAS,UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,3,64525,1,Jose Antonio Galvez Lopez
PROGRAMA ESTATAL DE FOMENTO DE LA INVESTIGACIÓN CIENTÍFICA Y TÉCNICA DE EXCELENCIA,MTM2013-47828-C2-1-P,GEOMETRIA SEMI-RIEMANNIANA Y PROBLEMAS VARIACIONALES EN FISICA MATEMATICA,UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,3,62293,1,Miguel Sanchez Caja
PROGRAMA ESTATAL DE FOMENTO DE LA INVESTIGACIÓN CIENTÍFICA Y TÉCNICA DE EXCELENCIA,MTM2013-47929-P,AVANCES EN MODELIZACION CON DATOS FUNCIONALES. APLICACION EN ANALISIS DE TIEMPOS DE VIDA,UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,3,59500,0,Ana Maria Aguilera Del Pino
PROGRAMA ESTATAL DE FOMENTO DE LA INVESTIGACIÓN CIENTÍFICA Y TÉCNICA DE EXCELENCIA,MTM2013-48371-C2-1-P,DESIGUALDADES GEOMETRICAS,UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,3,40041,0,Manuel Maria Ritore Cortes
PROGRAMA ESTATAL DE FOMENTO DE LA INVESTIGACIÓN CIENTÍFICA Y TÉCNICA DE EXCELENCIA,PSI2013-45041-P,"ANALISIS PSICOSOCIAL DE LA VIOLENCIA CONTRA LAS MUJERES: ACTITUDES, MITOS, CONTEXTOS SOCIALES NORMALIZADORES Y TENDENCIAS A LA AGRESION",UNIVERSIDAD DE GRANADA,FACULTAD DE PSICOLOGIA,3,35000,0,Jesus Lopez Megias
