FECHA,AÑO,Doctorando,TITULO_TESIS,APELLIDO1,APELLIDO2,NOMBRE
12-11-2012,2012,"GONZALEZ LOPEZ, ANTONIO CARLOS",MEDIDAS Y ESTRATEGIAS DE EDUCACIÓN INCLUSIVA: ALUMNADO CON NEE DE LA ESO EN LAS PROVINCIAS DE ALBACETE Y MURCIA,CÁCERES,RECHE,MARÍA DEL PILAR
12-11-2012,2012,"GONZALEZ CASTRO, DANIEL",DESARROLO DE NUEVAS ESTRATEGIAS DE SINCRONIZACIÓN PARA VLSI EN SISTEMAS DE PROCESAMIENTO RNS,LLORÍS,RUIZ,ANTONIO
13-11-2012,2012,"SALAVERT ANDRES, VIRGINIA",ESTRATEGIAS VITALES E IMPLICACIONES EVOLUTIVAS EN TRICÓPTEROS DE AGUAS TEMPORALES,ZAMORA,MUÑOZ,CARMEN
13-11-2012,2012,"RUIZ ARROYO, MATILDE",EMPRENDEDORES CON EXPECTATIVAS DE ALTO CRECIMIENTO. UNA PERSPECTIVA DE GÉNERO A NIVEL MUNDIAL,FUENTES,FUENTES,MARÍA DEL MAR
15-11-2012,2012,"GARCIA DEL AMO, IGNACIO JOSE",PROBLEMAS DE OPTIMIZACION DINAMICOS E IMPRECISOS: ESTUDIOS DE METODOS DE SOLUCION Y APLICACIONES,VERDEGAY,GALDEANO,JOSÉ LUIS
15-11-2012,2012,"DI BERNARDO, MIRKO",MEMORIA Y SENTIDO DE SÍ MISMO. INVESTIGACIONES FENOMENOLÓGICAS E IMPLICACIONES PEDAGÓGICAS,JIMÉNEZ,RÍOS,FRANCISCO JAVIER
15-11-2012,2012,"BAUTISTA GONZALEZ, IKER JAVIER",DISEÑO Y VALIDACION DE UNA ESCALA DE PERCEPCION DE LA VELOCIDAD PARA MONITORIZAR LA INTENSIDAD EN EL ENTRENAMIENTO DE LA FUERZA,CHIROSA,RÍOS,LUIS JAVIER
15-11-2012,2012,"BAUTISTA GONZALEZ, IKER JAVIER",DISEÑO Y VALIDACION DE UNA ESCALA DE PERCEPCION DE LA VELOCIDAD PARA MONITORIZAR LA INTENSIDAD EN EL ENTRENAMIENTO DE LA FUERZA,MARTÍN,TAMAYO,IGNACIO
15-11-2012,2012,"BAUTISTA GONZALEZ, IKER JAVIER",DISEÑO Y VALIDACION DE UNA ESCALA DE PERCEPCION DE LA VELOCIDAD PARA MONITORIZAR LA INTENSIDAD EN EL ENTRENAMIENTO DE LA FUERZA,CHIROSA,RÍOS,IGNACIO JESÚS
15-11-2012,2012,"RIOS LEON, ROBERTO ANTONIO","INCIDENCIA DE LA FORMACION INVESTIGADORA EN LA CUALIFICACION ACADEMICA  DE LOS ESTUDIANTES DEL PROGRAMA DE CONTADURIA PUBLICA DE LA CORPORACION UNIVERSITARIA MINUTO DE DIOS, COLOMBIA",TRUJILLO,TORRES,JUAN MANUEL
15-11-2012,2012,"RIOS LEON, ROBERTO ANTONIO","INCIDENCIA DE LA FORMACION INVESTIGADORA EN LA CUALIFICACION ACADEMICA  DE LOS ESTUDIANTES DEL PROGRAMA DE CONTADURIA PUBLICA DE LA CORPORACION UNIVERSITARIA MINUTO DE DIOS, COLOMBIA",LÓPEZ,NÚÑEZ,JUAN ANTONIO
15-11-2012,2012,"GARCIA DEL AMO, IGNACIO JOSE",PROBLEMAS DE OPTIMIZACION DINAMICOS E IMPRECISOS: ESTUDIOS DE METODOS DE SOLUCION Y APLICACIONES,PELTA,MOCHCOVSKY,DAVID ALEJANDRO
16-11-2012,2012,"CARDENAS CRUZ, DOLORES PURIFICACION",PROYECTO SALVAVIDAS: PROGRAMA DE FORMACION MASIVA PARA LA POBLACION GENERAL EN EL SOPORTE VITAL BASICO,PARRILLA,RUIZ,FRANCISCO
16-11-2012,2012,"AKALAY NASSER, MUSTAFA","EL TETUAN ESPAÑOL (1860-1956):SINTESIS DE SU HISTORIA URBANA Y ARQUITECTONICA. DOCUMETNOS ESCRITOS, TESTIMONIOS INEDITOS",HENARES,CUÉLLAR,IGNACIO
16-11-2012,2012,"CARDENAS CRUZ, DOLORES PURIFICACION",PROYECTO SALVAVIDAS: PROGRAMA DE FORMACION MASIVA PARA LA POBLACION GENERAL EN EL SOPORTE VITAL BASICO,GÓMEZ,JIMÉNEZ,FRANCISCO J.
16-11-2012,2012,"AKALAY NASSER, MUSTAFA","EL TETUAN ESPAÑOL (1860-1956):SINTESIS DE SU HISTORIA URBANA Y ARQUITECTONICA. DOCUMETNOS ESCRITOS, TESTIMONIOS INEDITOS",GONZÁLEZ,ALCANTUD,JOSÉ ANTONIO
16-11-2012,2012,"ARCO GONZALEZ, ROCIO",EFECTO DE MUTACIONES EN PROTEÍNAS EN LA SUPERVIVENCIA DE MICROORGANISMOS BAJO CONDICIONES DE ESTRÉS Y PRESENCIA DE ANTIBIÓTICOS,SÁNCHEZ,RUIZ,JOSÉ MANUEL
16-11-2012,2012,"ALVES DURAES, DALILA",ANALISISE DE PLATAFORMAS INFORMATICAS COMO INSTRUMENTO DE APRENDIZAGEM COLABORATIVA DOS ESTUDANTES DO ENSINO SECUNDARIO NO CONCELHO DE GUIMARAES EM PORTUGAL,HINOJO,LUCENA,FRANCISCO JAVIER
16-11-2012,2012,"PEREZ ESPIGARES, CARLOS",FLUCTUACIONES FUERA DEL EQUILIBRIO EN SISTEMAS DIFUSIVOS,HURTADO,FERNÁNDEZ,PABLO IGNACIO
16-11-2012,2012,"MORA LUNA, ANTONIA MARIA",LA EDUCACION LITERARIA EN LA ESPAÑA CONTEMPORANEA. CURRICULA EDUCATIVOS Y MANUALISTICA ESCOLAR PAR EL CONSTRUCCION DE IDENTIDADES (1970-2006),GARCÍA,GARCÍA,MIGUEL ÁNGEL
