AREA,TITULO,2011,2012,2013,2014,2015
Ciencias,GRADUADO/A EN CIENCIAS AMBIENTALES,62,62,65,66,66
Ingeniería y Arquitectura,GRADUADO/A EN INGENIERÍA QUÍMICA,63,63,61,67,65
Ciencias Sociales y Jurídicas,GRADUADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (MELILLA),64,67,60,64,50
Ciencias,GRADUADO/A EN MATEMÁTICAS,65,56,58,55,60
Ciencias,GRADUADO/A EN ESTADÍSTICA,66,70,66,70,69
Ciencias,GRADUADO/A EN GEOLOGÍA,67,65,67,65,64
Ingeniería y Arquitectura,GRADUADO/A EN INGENIERÍA INFORMÁTICA,68,71,68,68,67
Ciencias Sociales y Jurídicas,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS (MEL.),69,42,47,34,35
Ingeniería y Arquitectura,GRADUADO/A EN INGENIERÍA INFORMÁTICA (CEUTA),70,69,69,71,71
Ciencias Sociales y Jurídicas,GRADUADO/A EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),71,45,29,52,45
