REFERENCIA,TITULO,ENTIDAD SOLICITANTE,CENTRO,DURACIÓN (AÑOS),"COSTES DIRECTOS (EUROS)",CONTRATOS PREDOC.,INVESTIGADOR PRINCIPAL
AGL2013-42778-P,IMPLICACION DE POLIAMINAS Y BRASINOESTEROIDES EN LA RESPUESTA A SALINIDAD DE LA SIMBIOSIS RHIZOBIUM- LEGUMINOSA: ASPECTOS METABOLICOS Y MOLECULARES,UNIVERSIDAD DE GRANADA,DPTO. FISIOLOGIA VEGETAL,3,102000.000,0,Jose Antonio Herrera Cervera
BIA2013-43462-P,"SIMULACIONES GEOMATICAS PARA MODELIZAR DINAMICAS AMBIENTALES II. HORIZONTE 2020",UNIVERSIDAD DE GRANADA,"FACULTAD DE FILOSOFIA Y LETRAS",3,72000.000,1,Maria Teresa Camacho Olmedo
CGL2013-40785-P,"HERENCIA DE CIRCON EN PROCESOS MAGMATICOS. MECANISMOS Y APLICACIONES AL ESTUDIO DEL RECICLADO CORTICAL Y LA DINAMICA DEL MANTO",UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,3,200000.000,1,Fernando Bea Barredo
CGL2013-46612-P,CRECIMIENTO BIOMIMETICO DE NANOMAGNETITAS. APLICACIONES EN ASTROBIOLOGIA Y NANOTECNOLOGIA,UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,3,66000.000,1,Concepcion Jimenez Lopez
CGL2013-47236-P,"PRODUCTORES DE CARBONATO EN PLATAFORMAS CARBONATADAS NEOGENAS DE LA CORDILLERA BETICA. FACTORES QUE CONTROLAN LA COMPOSICION Y LA RESEDIMENTACION",UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,4,72000.000,0,Julio Aguirre Rodriguez
CGL2013-47558-P,"PROCESOS ECOLOGICOS Y GENETICOS QUE PRODUCEN ESPECIACION: LA INTERACCION ENTRE HIBRIDACION, POLIPLOIDIA Y ADAPTACION LOCAL EN PLANTAS GENERALISTAS",UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,3,85000.000,1,Francisco Perfectti Alvarez
CGL2013-47725-P,"EPIDEMIOLOGIA E IDENTIFICACION MOLECULAR DE ESPECIES GEMELAS DE ANISAKIS SIMPLEX S.L.: SU DESARROLLO Y EXPRESION DIFERENCIAL DE ACTIVIDAD PROTEOLITICA",UNIVERSIDAD DE GRANADA,FACULTAD DE FARMACIA,4,85000.000,0,Francisco Javier Adroher Auroux
CGL2013-48193-C3-2-P,"FUNCIONES MULTIPLES DE SEÑALES: IMPORTANCIA DE SEXO, EDAD Y AMBIENTE BACTERIANO",UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,3,126000.000,1,Manuel Martin-Vivaldi Martinez
CGL2013-48247-P,"BIOMINERALIZACION EN MOLUSCOS: CRISTALOGRAFIA, ORGANIZACION Y EVOLUCION DE MICROESTRUCTURAS. NANOESTRUCTURA Y CRECIMIENTO DE BIOCRISTALES",UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS,3,90000.000,0,Antonio Checa Gonzalez
CSO2013-40646-P,"RECONSTRUIR EL CAMPO DE LAS REGIONES NO FRONTERIZAS EN LA RELOCALIZACION INDUSTRIAL Y LA MIGRACION: LOS CASOS DE MARRUECOS Y MEXICO",UNIVERSIDAD DE GRANADA,INSTITUTO DE MIGRACIONES,3,70000.000,1,Antonio Trinidad Requena
CSO2013-47713-P,"RECONSTRUCCION GEOHISTORICA DE LA VEGETACION ARBOREA SOBRE SUSTRATOS ULTRAMAFICOS MEDITERRANEOS",UNIVERSIDAD DE GRANADA,FACULTAD DE FILOSOFIA Y LETRAS,3,38000.000,0,Jose Gomez Zotano
CTM2013-48154-P,TRATAMIENTO DE AGUA RESIDUAL URBANA CON SALINIDAD VARIABLE EN BIORREACTORES DE MEMBRANA SUMERGIDA CON Y SIN LECHO EN SUSPENSION,UNIVERSIDAD DE GRANADA,INSTITUTO DEL AGUA,3,168000.000,1,Jesus Gonzalez Lopez
DER2013-48665-P,"EVALUACION Y GESTION DE RIESGOS EN EL CAMPO DE LOS MEDICAMENTOS Y ALIMENTOS: FARMACOVIGILANCIA Y SEGURIDAD ALIMENTARIA",UNIVERSIDAD DE GRANADA,FACULTAD DE DERECHO,3,38000.000,1,Maria Asuncion Torres Lopez
ECO2013-47009-P,DETERMINANTES Y CONSECUENCIAS EMPRESARIALES DE LA GENERACION DE INNOVACIONES MEDIOAMBIENTALES PATENTADAS EN LA INDUSTRIA ENERGETICA,UNIVERSIDAD DE GRANADA,DPTO. DE ORGANIZACIÓN DE EMPRESAS,3,41100.000,0,Juan Alberto Aragon Correa
ECO2013-47027-P,"INTEGRACION DE LA GESTION DE LA CADENA DE SUMINISTRO Y GESTION DE LA CALIDAD: INFLUENCIA SOBRE EL DESARROLLO DE CAPACIDADES DINAMICAS",UNIVERSIDAD DE GRANADA,DPTO. DE ORGANIZACIÓN DE EMPRESAS,4,61700.000,1,Francisco Javier Llorens Montes
EDU2013-41054-P,"EL  PROGRAMA ""APRENDER A CONVIVIR EN CASA"" Y SU INFLUENCIA EN LA MEJORA DE LA COMPETENCIA SOCIAL Y LA REDUCCION DE PROBLEMAS DE CONDUCTA",UNIVERSIDAD DE GRANADA,DPTO. PSICOLOGIA EVOLUTIVA Y DE LA EDUCACION,3,31400.000,1,M.carmen Pichardo Martinez
EDU2013-41141-P,"SIGNIFICADOS DE LA PROBABILIDAD EN EL CURRICULO DE LA ENSEÑANZA OBLIGATORIA Y LA FORMACION DE PROFESORES",UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS DE LA EDUCACION,3,31400.000,0,Carmen Batanero Bernabeu
EDU2013-48432-P,"LIDERAZGO PEDAGOGICO Y DESARROLLO DEL CENTRO COMO COMUNIDAD PROFESIONAL: PRACTICAS DE EXITO EN EDUCACION OBLIGATORIA",UNIVERSIDAD DE GRANADA,FACULTAD DE CIENCIAS DE LA EDUCACION,3,25000.000,0,Antonio Bolivar Botia
FFI2013-41662-P,"ACTUALIDAD DE LA HERMENEUTICA. NUEVAS TENDENCIAS Y AUTORES",UNIVERSIDAD DE GRANADA,"FACULTAD DE FILOSOFIA Y LETRAS",4,37000.000,0,Sultana Wahnon Bensusan
FFI2013-44836-P,"NATURALISMO, EXPRESIVISMO Y NORMATIVIDAD",UNIVERSIDAD DE GRANADA,"FACULTAD DE FILOSOFIA Y LETRAS",3,45000.000,1,Maria Jose Frapolli Sanz
FIS2013-43201-P,"FISICA ESTADISTICA DE LOS SISTEMAS COMPLEJOS: DE LOS PRINCIPIOS BASICOS A LAS FRONTERAS DE LA FISICA DE LA MATERIA, ECOLOGIA Y NEUROCIENCIA",UNIVERSIDAD DE GRANADA,INSTITUTO CARLOS I DE FISICA TEORICA Y COMPUTACIONAL,3,145000.000,1,Miguel Angel Muñoz Martinez
