Código,DENOMINACIÓN GRUPO DE INVESTIGACIÓN,INV,MUJ,REV,LIB,CAP,CON,PROY,CONT
SEJ127,ESTUDIOS ECONÓMICOS AVANZADOS,10,4,49,37,15,28,1,1
SEJ129,PROBLEMAS SOCIALES EN ANDALUCIA,36,11,108,38,130,158,5,14
SEJ131,METODOLOGIA Y ANALISIS DE LA VIDA SOCIAL,19,8,20,13,20,27,6,
SEJ133,ESTUDIOS JURIDICOS INTERNACIONALES Y EUROPEOS,14,6,42,9,56,4,6,4
SEJ135,DERECHOS HUMANOS Y GARANTIAS,14,5,44,18,34,6,4,8
SEJ150,GRUPO DE INVESTIGACIÓN DE DERECHO CIVIL OSSORIO MORALES,24,12,31,6,69,16,3,
SEJ151,PROFESORES DE DERECHO PENAL DE LA UNIV. DE GRANADA,15,3,45,22,151,23,7,1
SEJ169,DERECHO Y BIENESTAR SOCIAL,15,3,66,24,63,96,5,
SEJ170,"PAISAJE,PLANIFICACION TERRIT.Y DESARROLLO LOCAL",19,11,45,8,81,58,2,2
SEJ175,COMUNIDAD EUROPEA Y DERECHO INTERNACIONAL PRIVADO,14,10,49,46,99,30,9,6
SEJ184,"DERECHO DEL TRABAJO,RELACIONES LABORALES Y S.S.",34,17,386,144,644,97,5,4
SEJ221,SEMINARIO DE ESTUDIOS PARA LA INTERVENCIÓN SOCIAL Y EDUCATIVA (SEPISE),28,19,37,16,38,48,5,7
SEJ241,ADMINISTRACION DE EMPRESAS Y MARKETING (ADEMAR),25,10,203,34,113,312,6,89
SEJ273,INFORMACIÓN CONTABLE PARA LA GESTION,19,8,168,76,50,395,10,19
SEJ326,INVESTIGACION Y ESTUDIO DEL DERECHO FINANCIERO,28,11,87,59,124,39,6,7
SEJ340,GAMMA (GRUPO DE ANÁLISIS MICROECONÓMICO Y MACROECONÓMICO APLICADO),12,7,189,4,19,142,11,6
SEJ351,APROXIMACION PRACTICA A PROBLEMAS DE DERECHO PENAL,11,9,25,17,41,14,1,1
SEJ355,"FINANCIACIÓN, GESTIÓN Y CONTROL DE ORGANIZACIONES (FIGECO)",16,6,169,25,46,318,9,25
SEJ393,ECONOMÍA PÚBLICA Y GLOBALIZACIÓN,19,7,73,11,28,55,8,2
SEJ430,OTRAS: PERSPECTIVAS FEMINISTAS EN INVESTIGACION SOCIAL,32,28,45,18,41,74,3,
SEJ438,ANÁLISIS Y CONTROL DEL RENDIMIENTO DEPORTIVO,18,5,58,2,12,83,1,
SEJ450,DERECHO PRIVADO PATRIMONIAL,19,10,42,14,38,15,7,
SEJ454,LA REFORMA DE LA FUNCIÓN PÚBLICA DE ANDALUCÍA.,10,8,48,8,64,15,3,2
SEJ459,"MEDIO AMBIENTE, ORDENACIÓN DEL TERRITORIO Y ENERGÍA",18,6,51,18,56,95,5,1
SEJ470,CIENCIA Y DEPORTE,29,7,118,10,16,68,4,16
SEJ476,"HISTORIA ECONÓMICA, INSTITUCIONES Y DESARROLLO",10,2,43,5,16,50,4,1
SEJ478,INVESTIGACIÓN AVANZADA EN DIRECCIÓN EMPRESARIAL,31,17,202,227,36,395,8,14
SEJ481,"INNOVACIÓN, SOSTENIBILIDAD Y DESARROLLO EMPRESARIAL",36,15,198,111,94,418,7,7
SEJ492,GRANADA LAB OF BEHAVIORAL ECONOMICS,36,14,146,2,6,55,3,
SEJ497,ENTRENAMIENTO COGNITIVO,14,6,36,6,3,14,2,
SEJ526,"INNOVACION, DESARROLLO Y EVALUACION EN EDUCACION",12,6,59,8,26,35,2,
SEJ535,"EDUCACIÓN, EVALUACIÓN Y EMPRENDIMIENTO",10,4,26,13,29,71,2,10
SEJ549,"SECTOR PÚBLICO, EQUIDAD, EFICIENCIA Y GESTIÓN",12,8,21,2,12,39,6,
TEP167,MECANICA DE SOLIDOS Y ESTRUCTURAS,29,5,79,13,5,167,27,6
TEP190,INGENIERÍA E INFRAESTRUCTURAS,10,2,96,5,5,51,1,
TEP209,DINAMICA DE FLUIDOS AMBIENTALES SECCION MARINA,17,4,105,11,52,219,41,49
TEP212,"TENSIOACTIVOS, ENZIMAS Y EMULSIONES",12,4,112,2,19,177,10,17
TEP232,METODOS NUMÉRICOS Y TRATAMIENTO DE SEÑALES EN SISTEMAS DINÁMICOS,11,3,69,,,113,9,9
TEP239,TECNOLOGÍAS PARA LA GESTIÓN Y TRATAMIENTO DEL AGUA,23,12,123,5,1,86,9,33
TEP246,TRANSPORTE Y SEGURIDAD,8,3,77,2,6,121,6,4
TIC103,TRATAMIENTO DE INCERTIDUMBRE EN SISTEMAS INTELIGENTES,19,2,183,6,33,100,7,4
TIC105,GRUPO DE INVESTIGACION EN DISPOSITIVOS ELECTRONICOS,18,4,170,,2,226,3,20
TIC111,RAZONAMIENTO APROXIMADO E INTELIGENCIA ARTIFICIAL,38,12,289,10,80,265,5,25
TIC116,PROCESAMIENTO DE LA INFORMACIÓN VISUAL,17,3,74,4,14,199,2,4
TIC117,CIRCUITOS Y SISTEMAS PROCESAMIENTO DE LA INFORMACION,45,4,517,4,83,577,23,45
TIC123,"GRUPO DE INVESTIGACIÓN EN SEÑALES, TELEMÁTICA Y COMUNICACIONES",13,3,101,1,19,138,3,2
TIC127,DITEC - TECNICAS DIGITALES,6,1,33,,,66,2,2
TIC131,ELECTROMAGNETISMO DE GRANADA (GEG),11,1,119,,1,157,8,16
TIC164,"ESPECIFICACION, DISEÑO Y EVOLUCION DE SOFTWARE",14,5,68,2,92,121,6,6
TIC167,INFORMATICA GRAFICA,15,2,33,2,39,154,6,11
TIC169,MODELOS DE DECISIÓN Y OPTIMIZACIÓN,22,7,166,28,75,205,4,6
TIC174,BASES DE DATOS Y SISTEMAS DE INFORMACION INTELIGENTES,34,16,235,12,67,279,12,26
TIC175,GRUPO DE SISTEMAS INTELIGENTES,23,2,51,3,23,130,6,5
TIC186,SOFT COMPUTING Y SISTEMAS DE INFORMACIÓN INTELIGENTES,81,18,873,15,101,904,40,56
TIC187,VISION POR COMPUTADOR,7,3,84,1,,19,1,
TIC210,INTELIGENCIA COMPUTACIONAL,14,1,86,,9,54,8,8
TIC216,GRUPO DE INVESTIGACIÓN EN NANOELECTRÓNICA,21,4,291,13,15,420,17,5
TIC218,SIGNAL PROCESSING AND BIOMEDICAL APPLICATIONS,13,3,314,7,37,385,5,13
TIC230,MODELLING & DEVELOPMENT OF ADVANCED SOFTWARE SYSTEMS,16,7,143,13,219,196,10,20
TIC233,NETWORK ENGINEERING & SECURITY GROUP,8,,48,2,2,137,1,19
TIC234,"SIGNAL PROCESSING, MULTIMEDIA TRANSMISSION AND SPEECH/AUDIO TECHNOLOGIES",10,1,55,5,,100,10,
TIC235,WIRELESS AND MULTIMEDIA NETWORKING LAB,7,,61,,,54,5,57
TIC236,"TECNOLOGÍAS Y APLICACIONES DE REALIDAD VIRTUAL, INTERACCIÓN Y SIMULACIÓN.",8,,32,8,30,53,1,17
TIC238,SOFTWARE DOCUMENTAL,54,15,264,28,111,75,14,18
