Código,DENOMINACIÓN GRUPO DE INVESTIGACIÓN,INV,MUJ,REV,LIB,CAP,CON,PROY,CONT
CTS359,UNIDAD DE INVESTIGACION FISIOPATOLOGICA Y CLINICA,19,6,70,,,50,1,
CTS362,ANALISIS DEL MOVIMIENTO HUMANO,22,3,121,,16,94,5,3
CTS392,BIOPATOLOGIA DEL CARCINOMA ESCAMOSO DE CABEZA Y CUELLO,8,3,108,,4,53,5,4
CTS427,AVANCES EN PSICOPATOLOGIA Y TERAPIA DE CONDUCTA,19,12,111,9,37,149,4,1
CTS430,PSICOBIOLOGIA,11,6,38,1,9,21,3,
CTS434,ONCOLOGIA E INMUNOLOGIA MOLECULAR,21,11,121,,26,105,9,
CTS436,ASPECTOS PSICOSOCIALES Y TRANSCULTURALES DE LA SALUD Y LA ENFERMEDAD,14,4,228,2,54,367,8,
CTS438,ESTUDIO DE LAS ENFERMEDADES NEURODEGENERATIVAS EN ANDALUCIA,11,4,67,2,19,48,4,
CTS454,"IMPACTO FISIOLOGICO DEL ESTRES OXIDATIVO, DEPORTE, ACTIVIDAD FÍSICA Y SALUD",11,5,89,,2,89,2,2
CTS461,BIOQUIMICA DE LA NUTRICIÓN. IMPLICACIONES TERAPEUTICAS,26,15,576,5,128,170,17,38
CTS503,SALUD PUBLICA DENTAL,19,11,236,2,23,106,3,6
CTS521,INVESTIGACIÓN TRASLACIONAL EN MICROBIOLOGÍA MÉDICA,15,5,82,3,37,70,1,6
CTS527,ACTIVIDAD FISICA Y DEPORTIVA EN EL MEDIO ACUATICO,19,13,37,12,22,108,4,2
CTS545,"ACTIVIDAD FISICA, DEPORTE Y ERGONOMIA PARA LA CALIDAD DE VIDA",35,11,364,15,71,285,8,5
CTS564,INMUNOLOGÍA MOLECULAR,12,5,66,,4,151,7,1
CTS581,NEUROPSICOLOGIA Y PSICONEUROINMUNOLOGIA CLINICAS,27,16,382,5,47,341,15,7
CTS583,PERIODONCIA E IMPLANTES,9,3,142,1,5,172,1,8
CTS592,BIOMATERIALES EN ODONTOLOGIA Y ODONTOPEDIATRIA,7,3,72,,2,72,2,
CTS627,FISIOLOGÍA Y BIOQUÍMICA NUTRICIONAL DEL ESTRES OXIDATIVO,16,5,167,3,36,116,5,46
CTS628,"PSIQUIATRÍA, BIOLOGÍA Y AMBIENTE",10,7,177,,9,103,2,1
CTS642,"INVESTIGACIÓN Y DESARROLLO EN ACTIVIDAD FÍSICA, SALUD Y DEPORTE.",35,3,179,15,13,168,1,
CTS654,INVESTIGACIÓN FARMACOLÓGICA EN ODONTOLOGÍA,20,4,181,6,,51,16,4
CTS944,PARASITOLOGIA MOLECULAR,15,9,180,1,10,109,15,
CTS946,DESARROLLO GALÉNICO DE RECURSOS NATURALES,8,4,113,2,26,219,4,
CTS963,"TERAPIAS AVANZADAS: DIFERENCIACIÓN, REGENERACIÓN Y CÁNCER",14,7,238,,29,281,8,6
CTS987,DESARROLLO DE ESTRATEGIAS TERAPÉUTICAS Y DE DIAGNOSTICO.,8,6,61,,5,75,5,1
CTS993,REGULACIÓN DE LA EXPRESIÓN GÉNICA Y CÁNCER,10,5,52,8,5,36,12,2
FQM101,FISICA TEORICA (PARTICULAS ELEMENTALES),26,4,368,2,,39,14,1
FQM108,ASTROFÍSICA,15,8,162,4,7,114,4,
FQM115,FISICA DE FLUIDOS Y BIOCOLOIDES,35,12,301,10,69,457,11,7
FQM116,ANALISIS NO LINEAL Y ECUACIONES DIFERENCIALES,19,2,123,4,9,42,6,2
FQM118,ESPECTROMETRÍA EN FÁSE SÓLIDA,29,12,262,1,55,395,11,15
FQM126,TEORIA DE LA EDUCACION MATEMATICA Y EDUCACIÓN ESTADÍSTICA,14,5,207,16,85,311,2,
FQM139,PRODUCTOS NATURALES:BIOTRANSFORMACIÓN Y QUÍMICA,13,2,89,1,,36,2,
FQM144,FISICA DE INTERFASES Y SISTEMAS COLOIDALES,17,6,177,3,37,198,9,11
FQM147,ANALISIS ESTAD.DE DATOS MULTIVARIANTES Y PROC.EST.,16,7,216,6,20,206,11,3
FQM151,GRUPO DE OPTICA DE GRANADA,42,14,345,44,28,492,5,10
FQM157,CALCULO ESTOCASTICO,7,5,115,,7,143,2,
FQM165,FÍSICA ESTADÍSTICA Y SISTEMAS COMPLEJOS,27,3,217,11,18,92,9,1
FQM168,CATEGORIAS-ALGEBRA HOMOLOGICA-TEORIA DE HOMOTOPIA,8,2,36,,,2,3,
FQM171,BIOFISICA Y BIOTECNOLOGIA MOLECULAR,30,10,96,,11,104,7,4
FQM176,ROBUSTEZ BAYESIANA,4,1,40,,,3,4,
FQM183,ECUACIONES DIFERENCIALES,10,1,72,2,,3,2,
FQM185,GEOMETRIA DE LOS ESPACIOS DE BANACH,14,3,131,,2,25,2,
FQM191,MATEMATICA APLICADA,13,2,102,10,12,142,2,3
FQM193,DIDACTICA DE LA MATEMATICA. PENSAMIENTO NUMERICO,27,5,227,42,120,244,3,1
FQM195,QUIMICA DE LA COORDINACIÓN Y ANÁLISIS ESTRUCTURAL,27,12,380,,7,497,16,11
FQM199,ANALISIS FUNCIONAL Y APLICACIONES,6,1,41,,5,2,2,
FQM207,FISICA ATOMICA Y MOLECULAR,13,5,253,,28,144,4,1
FQM208,GLICOQUÍMICA & BIOCONJUGACIÓN,9,2,131,1,4,57,4,2
FQM220,ESTRUCTURA ATOMICA Y NUCLEAR,18,3,178,6,20,95,12,
FQM225,FÍSICA NUCLEAR A ENERGÍAS INTERMEDIAS,13,1,192,9,4,124,8,
FQM235,BIOESTADISTICA,14,6,230,26,61,151,4,3
FQM247,FOTOQUIMICA Y FOTOBIOLOGIA,10,2,133,4,6,192,4,
FQM283,COMPLEJOS DE METALES DE TRANSICION CON INTERES BIOINORGANICO Y/O TERAPEUTICO,17,10,104,,4,321,2,
FQM290,ESTRUCTURAS NORMADAS EN ESPACIOS VECTORIALES,7,,26,,,1,1,
FQM292,EVOLUCION Y NUCLEOSINTESIS ESTELAR,10,1,198,,7,79,2,
FQM297,"CONTROL ANALÍTICO AMBIENTAL, BIOQUÍMICO Y ALIMENTARIO",42,20,622,3,61,665,13,28
FQM302,"CALIDAD EN QUIMICA ANALITICA ALIMENTARIA, AMBIENTAL Y CLÍNICA (CQAC3)",19,9,227,2,31,302,7,6
FQM307,MODELIZACION Y PREDICCION CON DATOS FUNCIONALES,10,3,104,11,27,129,1,
FQM316,ECUACIONES DE EVOLUCIÓN EN DERIVADAS PARCIALES,16,4,180,4,3,102,8,
FQM324,GEOMETRIA DIFERENCIAL Y SUS APLICACIONES,25,3,177,18,21,90,5,
FQM325,PROBLEMAS VARIACIONALES EN GEOMETRIA,25,5,159,12,8,64,4,1
FQM330,FISICA DE ALTAS ENERGIAS,12,1,195,,,7,5,
FQM338,QUIMICA ANALITICA Y CIENCIAS DE LA VIDA,24,11,271,8,10,317,5,
FQM339,SINTESIS ORGANICA,20,8,49,,,125,4,5
FQM340,BIOTEC.DE HONGOS Y DESARROLLO DE MOLECULAS FARMACOLOGICAMENTE ACTIVAS,14,7,130,2,8,203,8,3
FQM343,SEMIGRUPOS CONMUTATIVOS,6,,74,3,1,27,2,2
FQM348,PRODUCTOS NATURALES Y SÍNTESIS ORGÁNICA APLICADA,14,1,120,,,106,6,
FQM359,ANÁLISIS NUMÉRICO Y SUS APLICACIONES,9,5,101,,3,105,2,
FQM365,DISEÑO Y ANÁLISIS ESTADÍSTICO DE ENCUESTAS POR MUESTREO,17,7,145,11,55,246,10,20
FQM367,QUÍMICA ORGANOMETÁLICA Y ELECTRÓNICA MOLECULAR,26,14,280,,,246,5,1
FQM368,BIONANOPARTICULAS METALICAS,13,6,56,1,6,100,9,4
FQM375,ANÁLISIS FUNCIONAL: C*-ÁLGEBRAS Y TEORÍA DE OPERADORES,6,1,81,3,4,9,4,
FQM379,ALGEBRA Y TEORÍA DE LA INFORMACIÓN,6,1,28,,,11,1,
HUM101,DINAMICA DE CREENCIAS,11,3,22,3,16,32,3,
HUM122,LEXICOGRAFIA CONTRASTIVA: APLICACIONES A LA TRADUCCION,20,11,165,8,68,130,5,7
HUM126,INNOVACION Y MEJORA DE LA EDUCACION EN ANDALUCIA,10,8,47,15,27,42,1,
HUM129,ANALISIS EXPERIMENTAL Y APLICADO DEL COMPORTAMIENTO,12,9,89,17,55,167,3,2
HUM138,HEBRAISTAS ANDALUCES,11,6,32,23,98,71,5,
HUM142,DESARROLLO HUMANO Y EDUCACION,10,2,8,,1,12,1,
HUM149,ANDALUCIA OR.SU RELACION CON AMERICA EN LA EDAD MODERNA,30,10,79,29,148,76,2,
HUM150,CIUDADES ANDALUZAS BAJO EL ISLAM,20,13,31,11,79,46,2,4
HUM162,"TOPONIMIA, HISTORIA Y ARQUEOLOGIA DEL REINO DE GRANADA",25,5,94,23,150,134,7,7
HUM178,"PAGANOS, JUDIOS Y CRISTIANOS EN LA ANTIGÜEDAD",12,4,51,21,65,26,4,
HUM186,ESTUDIOS LITERARIOS DE LA UNIVERSIDAD DE GRANADA,39,24,210,58,129,49,5,4
HUM188,LA IMAGEN BARROCA DEL MUNDO,13,3,28,16,46,32,1,
HUM196,"ACTITUDES Y CONDUCTAS AMBIENTALES, DE PARTICIPACIÓN SOCIAL Y  RELACIONES INTERPERSONALES",7,5,25,1,1,35,1,
HUM200,MERIDIANO,10,1,24,8,21,18,6,
HUM215,ARQUEOLOGIA E HISTORIA DE LA HISPANIA MERIDIONAL EN EPOCA ROMANA Y VISIGODA,10,2,36,8,37,15,1,
HUM216,RECUPERACIÓN DE LAS FUENTES LATINAS Y ESTUDIO DE LA TRADICIÓN CLÁSICA EN ANDALUCÍA,12,2,10,4,17,2,1,
HUM222,PATRIMONIO ARQUITECTONICO Y URBANO EN ANDALUCÍA,35,13,120,26,209,113,7,7
HUM232,PSICOLOGIA DE LA INTERVENCION EN LA EDUCACION,17,9,104,87,86,56,2,5
HUM250,SAMAG:STUDIUM  DE ANTIQUIS MUSICIS ARTIBUS GRANATENSE,10,2,45,26,53,3,2,
HUM263,PATRIMONIO MUSICAL DE ANDALUCIA,35,11,32,23,54,63,4,
HUM267,INVESTIGACIÓN DEL CURRICULUM Y FORMACION DEL PROFESORADO,24,13,138,19,41,45,6,5
HUM274,GRUPO DE ESTUDIOS DE PREHISTORIA RECIENTE DE ANDALUCIA,31,7,143,21,81,64,7,4
HUM278,GRUPO DE INVESTIGACIONES HISTORICO-LINGUISTICAS Y DIALECTALES,12,8,11,3,29,20,3,
HUM286,MET.Y DOC. ESTUDIO DEL PATRIMONIO ARTISTICO ANDALUZ,26,12,29,6,31,12,1,4
HUM289,DISCRIMINACION Y ESTIGMA: ASPECTOS PSICOSOCIALES,31,25,177,8,62,326,5,2
HUM296,ARQUEOLOGÍA DE LA ÉPOCA CLASICA Y ANTIGÜEDAD TARDÍA EN ANDALUCÍA ORIENTAL,20,12,52,13,65,38,3,
HUM308,POLITICAS Y REFORMAS EDUCATIVAS,13,6,51,11,49,40,5,
HUM356,ED. INVEST-GRANADA,10,6,19,4,21,40,2,
HUM358,INNOVACION CURRICULAR EN CONTEXTOS MULTICULTURALES,16,11,52,57,95,43,2,6
HUM362,"CORPUS DE RETABLOS, PORTADAS Y OTROS SOPORTES ICONOGRAFICOS EN ANDALUCIA ORIENTAL",19,8,24,8,57,7,4,
HUM379,NEUROCIENCIA COGNITIVA,49,31,325,14,63,416,13,6
