CODIGO,CURSO,TITULO,TASA RENDIMIENTO,TASA EXITO,TASA ABANDONO INICIAL,TASA EFICIENCIA,TASA GRADUACION,TASA ABANDONO
287,2015,GRADUADO/A EN ÓPTICA Y OPTOMETRÍA,"66,5","72,12","21,85","93,06","43,33","21,67"
288,2011,GRADUADO/A EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,"81,59","88,78",,,,
288,2012,GRADUADO/A EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,"88,21","92,48",,,,
288,2013,GRADUADO/A EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,"85,82","91,07","9,24",,,
288,2014,GRADUADO/A EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,"86,97","92,46","6,99","96,65",,
288,2015,GRADUADO/A EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,"87,9","92,22","4,26","96,96","53,8","17,93"
290,2011,GRADUADO/A EN LITERATURAS COMPARADAS,"49,51","79,69",,,,
290,2012,GRADUADO/A EN LITERATURAS COMPARADAS,"71,43","88,04",,,,
290,2013,GRADUADO/A EN LITERATURAS COMPARADAS,"67,8","86,69","40,63",,,
290,2014,GRADUADO/A EN LITERATURAS COMPARADAS,"72,36","90,19","29,41","99,79",,
290,2015,GRADUADO/A EN LITERATURAS COMPARADAS,"73,48","87,79","31,11",100,"22,58","54,84"
291,2011,GRADUADO/A EN QUÍMICA,"48,83","62,75",,,,
291,2012,GRADUADO/A EN QUÍMICA,"53,72","70,4",,,,
291,2013,GRADUADO/A EN QUÍMICA,"56,67","70,48","20,51",,,
291,2014,GRADUADO/A EN QUÍMICA,"63,62","76,22","30,12","96,89",,
291,2015,GRADUADO/A EN QUÍMICA,"64,43","77,69","32,53","97,49","25,64","37,18"
292,2011,GRADUADO/A EN HISTORIA,"54,14","75,92",,,,
292,2012,GRADUADO/A EN HISTORIA,"63,6","80,37",,,,
292,2013,GRADUADO/A EN HISTORIA,"73,33","85,6","23,03",,,
292,2014,GRADUADO/A EN HISTORIA,"73,68","86,15","20,67","96,74",,
292,2015,GRADUADO/A EN HISTORIA,"75,12","87,05","18,84","96,7","26,97","46,71"
293,2011,GRADUADO/A EN HISTORIA DEL ARTE,"59,12","70,91",,,,
293,2012,GRADUADO/A EN HISTORIA DEL ARTE,"63,27","77,31",,,,
293,2013,GRADUADO/A EN HISTORIA DEL ARTE,"70,73","82,81","29,29",,,
293,2014,GRADUADO/A EN HISTORIA DEL ARTE,"75,11","86,21","35,51","97,22",,
293,2015,GRADUADO/A EN HISTORIA DEL ARTE,"74,47","84,4","34,65","97,78","26,43","43,57"
294,2012,GRADUADO/A EN ANTROPOLOGÍA SOCIAL Y CULTURAL,"75,09","84,83",,,,
294,2013,GRADUADO/A EN ANTROPOLOGÍA SOCIAL Y CULTURAL,"74,23","85,21",,,,
294,2014,GRADUADO/A EN ANTROPOLOGÍA SOCIAL Y CULTURAL,"70,78","85,9","21,15",,,
294,2015,GRADUADO/A EN ANTROPOLOGÍA SOCIAL Y CULTURAL,"79,54","90,89","22,22","98,52",,
296,2011,GRADUADO/A EN INGENIERÍA INFORMÁTICA,"33,45","53,5",,,,
296,2012,GRADUADO/A EN INGENIERÍA INFORMÁTICA,"38,01","54,58",,,,
296,2013,GRADUADO/A EN INGENIERÍA INFORMÁTICA,"50,99","68,19","30,97",,,
296,2014,GRADUADO/A EN INGENIERÍA INFORMÁTICA,"57,76","72,03","53,47","95,35",,
296,2015,GRADUADO/A EN INGENIERÍA INFORMÁTICA,"57,76","72,42","32,85","93,82","9,73","54,28"
297,2012,GRADUADO/A EN INGENIERÍA INFORMÁTICA Y MATEMÁTICAS,"49,11","61,54",,,,
297,2013,GRADUADO/A EN INGENIERÍA INFORMÁTICA Y MATEMÁTICAS,"57,98","71,77",,,,
297,2014,GRADUADO/A EN INGENIERÍA INFORMÁTICA Y MATEMÁTICAS,"67,51","77,65","34,78",,,
297,2015,GRADUADO/A EN INGENIERÍA INFORMÁTICA Y MATEMÁTICAS,"76,33","83,71",40,,,
298,2011,GRADUADO/A EN PEDAGOGÍA,"80,77","88,48",,,,
298,2012,GRADUADO/A EN PEDAGOGÍA,"85,91","91,24",,,,
298,2013,GRADUADO/A EN PEDAGOGÍA,"92,87","96,14","16,39",,,
298,2014,GRADUADO/A EN PEDAGOGÍA,"94,03","97,15","14,56","98,54",,
298,2015,GRADUADO/A EN PEDAGOGÍA,"92,24","96,08","5,17","97,86","43,44","39,34"
299,2011,GRADUADO/A EN HISTORIA Y CIENCIAS DE LA MÚSICA,"57,62","82,1",,,,
299,2012,GRADUADO/A EN HISTORIA Y CIENCIAS DE LA MÚSICA,"62,92","79,29",,,,
299,2013,GRADUADO/A EN HISTORIA Y CIENCIAS DE LA MÚSICA,"74,58","86,36","26,67",,,
299,2014,GRADUADO/A EN HISTORIA Y CIENCIAS DE LA MÚSICA,"79,68","91,97","24,24","97,74",,
299,2015,GRADUADO/A EN HISTORIA Y CIENCIAS DE LA MÚSICA,"76,22","87,12","18,75","96,71","25,33",48
407,2011,GRADUADO/A EN ENFERMERÍA (CEUTA),"69,42","82,7",,,,
407,2012,GRADUADO/A EN ENFERMERÍA (CEUTA),"72,61","78,77",,,,
407,2013,GRADUADO/A EN ENFERMERÍA (CEUTA),"81,92","87,73","19,26",,,
407,2014,GRADUADO/A EN ENFERMERÍA (CEUTA),"90,13","93,94","14,48","93,77",,
407,2015,GRADUADO/A EN ENFERMERÍA (CEUTA),"92,89","94,7","25,37","94,51","46,67","39,26"
414,2012,GRADUADO/A EN EDUCACIÓN SOCIAL (CEUTA),"76,2","88,46",,,,
414,2013,GRADUADO/A EN EDUCACIÓN SOCIAL (CEUTA),"84,4","90,55",,,,
414,2014,GRADUADO/A EN EDUCACIÓN SOCIAL (CEUTA),"85,48","91,45","16,9",,,
414,2015,GRADUADO/A EN EDUCACIÓN SOCIAL (CEUTA),"90,09","95,08","13,33","98,25",,
433,2011,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (CEUTA),"59,78","83,27",,,,
433,2012,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (CEUTA),"72,15","84,07",,,,
433,2013,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (CEUTA),"77,98","86,07","30,56",,,
433,2014,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (CEUTA),"81,31","90,14","13,33","98,77",,
433,2015,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (CEUTA),"77,87","86,71","10,13","93,75","27,78","52,78"
457,2011,GRADUADO/A EN EDUCACIÓN PRIMARIA (CEUTA),"71,02","86,83",,,,
457,2012,GRADUADO/A EN EDUCACIÓN PRIMARIA (CEUTA),"66,96","77,05",,,,
457,2013,GRADUADO/A EN EDUCACIÓN PRIMARIA (CEUTA),"78,2","86,24","25,74",,,
457,2014,GRADUADO/A EN EDUCACIÓN PRIMARIA (CEUTA),78,"87,3","18,46","94,05",,
457,2015,GRADUADO/A EN EDUCACIÓN PRIMARIA (CEUTA),"79,91","88,69","15,58","91,19","31,68","45,54"
458,2011,GRADUADO/A EN EDUCACIÓN INFANTIL (CEUTA),"64,34","77,57",,,,
458,2012,GRADUADO/A EN EDUCACIÓN INFANTIL (CEUTA),"78,69","85,88",,,,
458,2013,GRADUADO/A EN EDUCACIÓN INFANTIL (CEUTA),"84,31","90,99","26,42",,,
458,2014,GRADUADO/A EN EDUCACIÓN INFANTIL (CEUTA),"86,21","92,79","8,33","96,17",,
458,2015,GRADUADO/A EN EDUCACIÓN INFANTIL (CEUTA),"89,1","93,09","15,09","97,09","32,08","45,28"
496,2011,GRADUADO/A EN INGENIERÍA INFORMÁTICA (CEUTA),"21,64","56,06",,,,
496,2012,GRADUADO/A EN INGENIERÍA INFORMÁTICA (CEUTA),"46,1","65,14",,,,
496,2013,GRADUADO/A EN INGENIERÍA INFORMÁTICA (CEUTA),"45,91","65,16","44,44",,,
496,2014,GRADUADO/A EN INGENIERÍA INFORMÁTICA (CEUTA),"47,59","68,52","11,11",,,
496,2015,GRADUADO/A EN INGENIERÍA INFORMÁTICA (CEUTA),"54,28","65,71",10,,0,"83,33"
507,2011,GRADUADO/A EN ENFERMERÍA (MELILLA),"77,57","81,13",,,,
507,2012,GRADUADO/A EN ENFERMERÍA (MELILLA),"85,37","87,65",,,,
507,2013,GRADUADO/A EN ENFERMERÍA (MELILLA),"86,87","88,9","6,67",,,
507,2014,GRADUADO/A EN ENFERMERÍA (MELILLA),"89,71","92,47","12,7","96,52",,
507,2015,GRADUADO/A EN ENFERMERÍA (MELILLA),"88,66","90,84","12,9","94,12","68,33","11,67"
514,2012,GRADUADO/A EN EDUCACIÓN SOCIAL (MELILLA),"76,32","85,35",,,,
514,2013,GRADUADO/A EN EDUCACIÓN SOCIAL (MELILLA),"80,52","85,48",,,,
514,2014,GRADUADO/A EN EDUCACIÓN SOCIAL (MELILLA),"79,83","85,78",20,,,
514,2015,GRADUADO/A EN EDUCACIÓN SOCIAL (MELILLA),"85,86","92,74","17,24","92,62",,
528,2015,GRADUADO ADMINISTRACIÓN Y DIRECCIÓN EMPRESAS Y DCHO (MELILLA),"54,55","72,6",,,,
533,2011,GRADUADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (MELILLA),"43,86","71,01",,,,
533,2012,GRADUADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (MELILLA),"50,32","75,34",,,,
533,2013,GRADUADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (MELILLA),"61,02","76,05","41,18",,,
533,2014,GRADUADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (MELILLA),"61,18","75,96","47,92","90,62",,
533,2015,GRADUADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (MELILLA),"69,39","82,27","32,84","96,1","23,53","52,94"
535,2011,DIPLOMADO EN CIENCIAS EMPRESARIALES (MELILLA),"56,34","81,4",,,,
535,2012,DIPLOMADO EN CIENCIAS EMPRESARIALES (MELILLA),"52,27","81,4",,,,
535,2013,DIPLOMADO EN CIENCIAS EMPRESARIALES (MELILLA),"35,4","70,89",,,,
535,2014,DIPLOMADO EN CIENCIAS EMPRESARIALES (MELILLA),"56,67","91,07",,,,
535,2015,DIPLOMADO EN CIENCIAS EMPRESARIALES (MELILLA),"75,34",100,,,,
536,2014,DIPLOMATURA DE RELACIONES LABORALES (MELILLA),100,100,,,,
537,2011,DIPLOMADO EN RELACIONES LABORALES (MELILLA),"59,99","93,21",,,,
537,2012,DIPLOMADO EN RELACIONES LABORALES (MELILLA),"47,63","83,57",,,,
537,2013,DIPLOMADO EN RELACIONES LABORALES (MELILLA),"31,47",100,,,,
537,2014,DIPLOMADO EN RELACIONES LABORALES (MELILLA),,,,,,
538,2011,DIPLOMADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),"59,98","90,48",,,,
538,2012,DIPLOMADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),"56,49","87,27",,,,
538,2013,DIPLOMADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),"7,13","26,56",,,,
538,2014,DIPLOMADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),"80,33","80,33",,,,
538,2015,DIPLOMADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),100,100,,,,
539,2011,GRADUADO/A EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),"15,03","36,51",,,,
539,2012,GRADUADO/A EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),"64,17",77,,,,
539,2013,GRADUADO/A EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),"78,39","88,14","86,67",,,
539,2014,GRADUADO/A EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),"68,17","85,55",30,"97,56",,
539,2015,GRADUADO/A EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),"72,71","85,27","18,75",,"6,67","86,67"
557,2011,GRADUADO/A EN EDUCACIÓN PRIMARIA (MELILLA),"62,35","74,43",,,,
557,2012,GRADUADO/A EN EDUCACIÓN PRIMARIA (MELILLA),"68,87","78,56",,,,
557,2013,GRADUADO/A EN EDUCACIÓN PRIMARIA (MELILLA),"69,89","76,9","27,27",,,
557,2014,GRADUADO/A EN EDUCACIÓN PRIMARIA (MELILLA),"78,5","85,13","22,73","95,15",,
557,2015,GRADUADO/A EN EDUCACIÓN PRIMARIA (MELILLA),"74,67","81,6","31,51","94,61","25,97","55,84"
558,2011,GRADUADO/A EN EDUCACIÓN INFANTIL (MELILLA),"66,82","79,44",,,,
558,2012,GRADUADO/A EN EDUCACIÓN INFANTIL (MELILLA),"77,32","84,41",,,,
558,2013,GRADUADO/A EN EDUCACIÓN INFANTIL (MELILLA),"83,58","87,71","29,27",,,
558,2014,GRADUADO/A EN EDUCACIÓN INFANTIL (MELILLA),"86,93","92,75","24,24","97,13",,
558,2015,GRADUADO/A EN EDUCACIÓN INFANTIL (MELILLA),"83,06","90,27","32,26","97,26","31,71","53,66"
559,2011,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS (MEL.),"32,22","59,18",,,,
559,2012,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS (MEL.),"64,97","82,73",,,,
559,2013,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS (MEL.),"68,38","87,46","33,33",,,
559,2014,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS (MEL.),"75,65","87,28",40,"80,81",,
559,2015,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS (MEL.),"74,86","87,25","20,45","96,39","22,22","55,56"
588,2015,GRADUADO/A CC ACT FÍSICA Y ED.PRIMA (MELILLA),"79,94","83,99",,,,
