CODIGO,CURSO,TITULO,TASA RENDIMIENTO,TASA EXITO,TASA ABANDONO INICIAL,TASA EFICIENCIA,TASA GRADUACION,TASA ABANDONO
213,2015,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINIST. Y DERECHO,"69,47","80,03","21,38",,,
214,2011,GRADUADO/A EN SOCIOLOGÍA,"56,41","72,13",,,,
214,2012,GRADUADO/A EN SOCIOLOGÍA,"66,78","78,55",,,,
214,2013,GRADUADO/A EN SOCIOLOGÍA,"73,11","82,94","34,09",,,
214,2014,GRADUADO/A EN SOCIOLOGÍA,"70,35","82,23","35,17","97,56",,
214,2015,GRADUADO/A EN SOCIOLOGÍA,"72,84","82,02","30,28","93,51","15,27","51,91"
220,2011,GRADUADO/A EN INGENIERÍA QUÍMICA,"44,98","61,67",,,,
220,2012,GRADUADO/A EN INGENIERÍA QUÍMICA,"53,85","65,99",,,,
220,2013,GRADUADO/A EN INGENIERÍA QUÍMICA,"60,58","70,46","32,43",,,
220,2014,GRADUADO/A EN INGENIERÍA QUÍMICA,"58,08","70,52","36,61","98,52",,
220,2015,GRADUADO/A EN INGENIERÍA QUÍMICA,"59,89","72,27","35,4","96,15","26,13","45,05"
221,2011,GRADUADO/A EN INGENIERÍA DE TECNOLOGÍAS DE TELECOMUNICACIÓN,"65,34","77,31",,,,
221,2012,GRADUADO/A EN INGENIERÍA DE TECNOLOGÍAS DE TELECOMUNICACIÓN,"66,9","75,88",,,,
221,2013,GRADUADO/A EN INGENIERÍA DE TECNOLOGÍAS DE TELECOMUNICACIÓN,"71,59","81,01","15,05",,,
221,2014,GRADUADO/A EN INGENIERÍA DE TECNOLOGÍAS DE TELECOMUNICACIÓN,"71,78","81,13","10,1","97,92",,
221,2015,GRADUADO/A EN INGENIERÍA DE TECNOLOGÍAS DE TELECOMUNICACIÓN,"74,51","83,73","15,53","98,05","40,86","23,66"
222,2011,GRADUADO/A EN MEDICINA,"93,63","96,48",,,,
222,2012,GRADUADO/A EN MEDICINA,"92,48","95,87",,,,
222,2013,GRADUADO/A EN MEDICINA,"92,67","95,35","2,89",,,
222,2014,GRADUADO/A EN MEDICINA,"93,25","95,97","3,64",,,
222,2015,GRADUADO/A EN MEDICINA,"92,14","95,9","3,6",,,
223,2011,GRADUADO/A EN ESTADÍSTICA,"42,79","58,78",,,,
223,2012,GRADUADO/A EN ESTADÍSTICA,"43,33",59,,,,
223,2013,GRADUADO/A EN ESTADÍSTICA,"55,33","67,73","45,9",,,
223,2014,GRADUADO/A EN ESTADÍSTICA,"55,86","70,85","51,02","94,61",,
223,2015,GRADUADO/A EN ESTADÍSTICA,"57,33","75,18","29,41","96,39","13,11","62,3"
227,2011,GRADUADO/A EN COMUNICACIÓN AUDIOVISUAL,"83,49","89,8",,,,
227,2012,GRADUADO/A EN COMUNICACIÓN AUDIOVISUAL,"94,48","97,48",,,,
227,2013,GRADUADO/A EN COMUNICACIÓN AUDIOVISUAL,"93,05","95,98","10,77",,,
