CODIGO,CURSO,TITULO,TASA ABANDONO
539,2015,GRADUADO/A EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),"86,67"
557,2011,GRADUADO/A EN EDUCACIÓN PRIMARIA (MELILLA),
557,2012,GRADUADO/A EN EDUCACIÓN PRIMARIA (MELILLA),
557,2013,GRADUADO/A EN EDUCACIÓN PRIMARIA (MELILLA),
557,2014,GRADUADO/A EN EDUCACIÓN PRIMARIA (MELILLA),
557,2015,GRADUADO/A EN EDUCACIÓN PRIMARIA (MELILLA),"55,84"
558,2011,GRADUADO/A EN EDUCACIÓN INFANTIL (MELILLA),
558,2012,GRADUADO/A EN EDUCACIÓN INFANTIL (MELILLA),
558,2013,GRADUADO/A EN EDUCACIÓN INFANTIL (MELILLA),
558,2014,GRADUADO/A EN EDUCACIÓN INFANTIL (MELILLA),
558,2015,GRADUADO/A EN EDUCACIÓN INFANTIL (MELILLA),"53,66"
559,2011,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS (MEL.),
559,2012,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS (MEL.),
559,2013,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS (MEL.),
559,2014,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS (MEL.),
559,2015,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS (MEL.),"55,56"
588,2015,GRADUADO/A CC ACT FÍSICA Y ED.PRIMA (MELILLA),
