CODIGO,CURSO,TITULO,TASA ABANDONO
227,2012,GRADUADO/A EN COMUNICACIÓN AUDIOVISUAL,
227,2013,GRADUADO/A EN COMUNICACIÓN AUDIOVISUAL,
227,2014,GRADUADO/A EN COMUNICACIÓN AUDIOVISUAL,
227,2015,GRADUADO/A EN COMUNICACIÓN AUDIOVISUAL,"30,77"
228,2011,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS-DERECHO,
228,2012,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS-DERECHO,
228,2013,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS-DERECHO,
228,2014,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS-DERECHO,
228,2015,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS-DERECHO,
230,2011,GRADUADO/A EN EDIFICACIÓN,
230,2012,GRADUADO/A EN EDIFICACIÓN,
230,2013,GRADUADO/A EN EDIFICACIÓN,
230,2014,GRADUADO/A EN EDIFICACIÓN,
230,2015,GRADUADO/A EN EDIFICACIÓN,"26,47"
231,2011,GRADUADO/A EN INFORMACIÓN Y DOCUMENTACIÓN,
231,2012,GRADUADO/A EN INFORMACIÓN Y DOCUMENTACIÓN,
231,2013,GRADUADO/A EN INFORMACIÓN Y DOCUMENTACIÓN,
231,2014,GRADUADO/A EN INFORMACIÓN Y DOCUMENTACIÓN,
231,2015,GRADUADO/A EN INFORMACIÓN Y DOCUMENTACIÓN,"41,18"
233,2011,GRADUADO/A EN FINANZAS Y CONTABILIDAD,
233,2012,GRADUADO/A EN FINANZAS Y CONTABILIDAD,
233,2013,GRADUADO/A EN FINANZAS Y CONTABILIDAD,
233,2014,GRADUADO/A EN FINANZAS Y CONTABILIDAD,
233,2015,GRADUADO/A EN FINANZAS Y CONTABILIDAD,"23,2"
235,2011,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,
235,2012,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,
235,2013,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,
235,2014,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,
235,2015,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,"22,73"
236,2011,GRADUADO/A EN MARKETING E INVESTIGACIÓN DE MERCADOS,
236,2012,GRADUADO/A EN MARKETING E INVESTIGACIÓN DE MERCADOS,
236,2013,GRADUADO/A EN MARKETING E INVESTIGACIÓN DE MERCADOS,
236,2014,GRADUADO/A EN MARKETING E INVESTIGACIÓN DE MERCADOS,
236,2015,GRADUADO/A EN MARKETING E INVESTIGACIÓN DE MERCADOS,"34,88"
237,2011,GRADUADO/A EN INGENIERÍA CIVIL,
237,2012,GRADUADO/A EN INGENIERÍA CIVIL,
237,2013,GRADUADO/A EN INGENIERÍA CIVIL,
237,2014,GRADUADO/A EN INGENIERÍA CIVIL,
237,2015,GRADUADO/A EN INGENIERÍA CIVIL,"19,35"
238,2011,GRADUADO/A EN TURISMO,
238,2012,GRADUADO/A EN TURISMO,
238,2013,GRADUADO/A EN TURISMO,
238,2014,GRADUADO/A EN TURISMO,
238,2015,GRADUADO/A EN TURISMO,"30,37"
239,2011,GRADUADO/A EN ECONOMÍA,
239,2012,GRADUADO/A EN ECONOMÍA,
239,2013,GRADUADO/A EN ECONOMÍA,
