Descripción,Enlace
Plan estratégico 2006 - 2010,http://wdb.ugr.es/~odap/PlanEstrategico.php
Plan estratégico 2010 - 2014,http://biotic.ugr.es/pages/documentos/fase2/descripciondelproyecto/%21
