Rama,Rank ,Nombre ,Citas ,h-index ,Perfil,Grupo
Ciencias Humanas y Artes  ,75, JUNCAL GUTIERREZ ARTACHO,22,3,http://scholar.google.es/citations?user=subLdUAAAAJ&hl=es,HUM466
Ciencias Humanas y Artes  ,76, BENAMI BARROS GARCIA,21,3,http://scholar.google.es/citations?user=u45X124AAAAJ&hl=es,HUM417
Ciencias Humanas y Artes  ,76, DAVID GARCIA CUETO,21,3,http://scholar.google.es/citations?user=_n4tyjsAAAAJ&hl=es,HUM222
Ciencias Humanas y Artes  ,78, CRISTINA LACHAT LEAL,20,3,http://scholar.google.es/citations?user=jU8oKGMAAAAJ&hl=es,HUM815
Ciencias Humanas y Artes  ,78, JUAN CARLOS MAROTO MARTOS,20,3,https://scholar.google.es/citations?user=79OC-HcAAAAJ&hl=es,HUM355
Ciencias Humanas y Artes  ,80, MAURICIO DAMIAN AGUILERA LINDE,18,2,http://scholar.google.es/citations?user=BXMgo30AAAAJ&hl=es,HUM424
Ciencias Humanas y Artes  ,81, AMELINA CORREA RAMON,16,2,http://scholar.google.es/citations?user=kQiuoPsAAAAJ&hl=es,HUM186
Ciencias Humanas y Artes  ,81, MIGUEL MORENO MUÑOZ,16,2,http://scholar.google.es/citations?user=W1u8IYAAAAAJ&hl=es,HUM828
Ciencias Humanas y Artes  ,83, MANUEL SANCHEZ RODRIGUEZ,15,2,https://scholar.google.es/citations?user=iGYqT4MAAAAJ&hl=es,HUM432
Ciencias Humanas y Artes  ,84, DAVID RUIZ TORRES,14,2,http://scholar.google.es/citations?user=a88r5oAAAAJ&hl=es,HUM806
Ciencias Humanas y Artes  ,85, MARIA JOSE SANCHEZ MONTES,12,2,http://scholar.google.es/citations?user=lEUUeJIAAAAJ&hl=es,HUM363
Ciencias Humanas y Artes  ,85, OSCAR SALGUERO MONTAÑO,12,2,http://scholar.google.es/citations?user=JYoHU4YAAAAJ&hl=es,SEJ126
Ciencias Humanas y Artes  ,85, RAFAEL REINOSO BELLIDO,12,2,http://scholar.google.es/citations?user=ewEYJd0AAAAJ&hl=es,RNM357
Ciencias Humanas y Artes  ,85, RUBEN TALAVERA GARCIA,12,2,http://scholar.google.es/citations?user=QOiyqUAAAAJ&hl=es,RNM034
Ciencias Humanas y Artes  ,89, ANA MARIA GOMEZ ROMAN,11,2,http://scholar.google.es/citations?user=9WsxMFYAAAAJ&hl=es,HUM222
Ciencias Humanas y Artes  ,89, JULIO MIGUEL ROMAN PUNZON,11,1,http://scholar.google.es/citations?user=rno_T-QAAAAJ&hl=es,HUM143
Ciencias Humanas y Artes  ,91, EVA MARIA MORALES RODRIGUEZ,10,2,http://scholar.google.es/citations?user=Uk3g48UAAAAJ&hl=es,HUM215
Ciencias Humanas y Artes  ,91, JOSE FERNANDEZ ECHEVERRIA,10,1,http://scholar.google.es/citations?user=IUI9R-AAAAAJ&hl=es,SEJ123
Ciencias Humanas y Artes  ,91, JUAN MANUEL MARTIN GARCIA,10,2,http://scholar.google.es/citations?user=ko6e5a8AAAAJ&hl=es,HUM222
Ciencias Humanas y Artes  ,91, LIDIA BOCANEGRA BARBECHO,10,2,https://scholar.google.es/citations?user=rPYTNiQAAAAJ&hl=es,HUM806
Ciencias Humanas y Artes  ,95, PATRICIA GARCIA SALAS,9,2,http://scholar.google.es/citations?user=TeRHNZUAAAAJ&hl=es,FQM297
Ciencias Humanas y Artes  ,96, ENRIQUE JAVIER VERCHER GARCIA,8,2,http://scholar.google.es/citations?user=NQu7QpkAAAAJ&hl=es,HUM417
Ciencias Humanas y Artes  ,96, FRANCISCO JOSE SANCHEZ GARCIA,8,2,http://scholar.google.es/citations?user=bnr19sYAAAAJ&hl=es,HUM060
Ciencias Humanas y Artes  ,98, ALBERTO ARRIBAS LOZANO,7,2,https://scholar.google.es/citations?user=2EI3Z6QAAAAJ&hl=es,SEJ123
Ciencias Humanas y Artes  ,98, Mª CARMEN ALBERDI URQUIZU,7,2,http://scholar.google.es/citations?user=BLN_gH8AAAAJ&hl=es,HUM354
Ciencias Humanas y Artes  ,98, ROCiO PEREZ CAMPAÑA,7,1,https://scholar.google.es/citations?user=1H9Gv38AAAAJ&hl=es,RNM034
Ciencias Humanas y Artes  ,101, MARIA DE LOS REYES GONZALEZ VIDA,6,1,http://scholar.google.es/citations?user=9wamtwgAAAAJ&hl=es,HUM611
Ciencias Humanas y Artes  ,101, MARINA GONZALEZ SANZ,6,1,http://scholar.google.es/citations?user=ypqZ2EAAAAJ&hl=es,HUM659
Ciencias Humanas y Artes  ,103, DAVID CABRERA MANZANO,5,2,http://scholar.google.es/citations?user=g7MFfaAAAAAJ&hl=es,RNM357
Ciencias Humanas y Artes  ,103, JOSE JUAN CABALLERO BARQUERO,5,2,http://scholar.google.es/citations?user=ljBOqIEAAAAJ&hl=es,BIO212
Ciencias Humanas y Artes  ,103, LUIS MIGUEL SANCHEZ ESCOLANO,5,1,http://scholar.google.es/citations?user=tlTySycAAAAJ&hl=es,SEJ170
Ciencias Humanas y Artes  ,106, ANA MARIA PEREZ GALDEANO,4,2,https://scholar.google.es/citations?user=0gK1gaEAAAAJ&hl=es,HUM286
Ciencias Humanas y Artes  ,106, PIERANGELA CONTINI,4,1,https://scholar.google.es/citations?user=EhZMhlYAAAAJ&hl=es,SEJ123
Ciencias Humanas y Artes  ,108, ANGEL FERNANDEZ AVIDAD,3,1,http://scholar.google.es/citations?user=ZVkMDM8AAAAJ&hl=es,HUM274
Ciencias Humanas y Artes  ,108, ENRIQUE F. QUERO GERVILLA,3,1,http://scholar.google.es/citations?user=gCGU8McAAAAJ&hl=es,HUM417
Ciencias Humanas y Artes  ,108, EVA MARIA GOMEZ JIMENEZ,3,1,http://scholar.google.es/citations?user=ZTtZkZAAAAJ&hl=es,HUM439
Ciencias Humanas y Artes  ,108, FRANCISCO JAVIER ABARCA ALVAREZ,3,1,http://scholar.google.es/citations?user=XCR4uUAAAAJ&hl=es,RNM357
Ciencias Humanas y Artes  ,108, GUILLERMO GARCIA-CONTRERAS RUIZ,3,1,http://scholar.google.es/citations?user=ChY0mFcAAAAJ&hl=es,HUM162
Ciencias Humanas y Artes  ,108, JAN-HENDRIK OPDENHOFF,3,1,http://scholar.google.es/citations?user=XzpQ9xcAAAAJ&hl=es,HUM737
Ciencias Humanas y Artes  ,108, JUAN CARLOS GOMEZ VARGAS,3,1,http://scholar.google.es/citations?user=5vWJ-rQAAAAJ&hl=es,HUM637
Ciencias Humanas y Artes  ,115, ANA RUIZ GUTIERREZ,2,1,https://scholar.google.es/citations?user=pkbitisAAAAJ&hl=es,HUM806
Ciencias Humanas y Artes  ,115, DARIO RANOCCHIARI,2,1,https://scholar.google.es/citations?user=6iPnSUgAAAAJ&hl=es,HUM543
Ciencias Humanas y Artes  ,115, GIUSEPPE BELUSCHI FABENI,2,1,http://scholar.google.es/citations?user=zvNW2P0AAAAJ&hl=es,SINGRUPO
Ciencias Humanas y Artes  ,118, JOSE MARIA GOMEZ DELGADO,1,1,http://scholar.google.es/citations?user=Ub0icywAAAAJ&hl=es,HUM432
Ciencias Humanas y Artes  ,118, MARIA AURORA MOLINA FAJARDO,1,1,http://scholar.google.es/citations?user=QheIbwAAAAJ&hl=es,HUM222
Ciencias Humanas y Artes  ,120, ANTONIO GOMEZ-BLANCO PONTES,0,0,https://scholar.google.es/citations?user=JfjuPZYAAAAJ&hl=es,HUM813
Ciencias Humanas y Artes  ,120, CARMEN BERMUDEZ SANCHEZ,0,0,https://scholar.google.es/citations?user=8UlaJ_QAAAAJ&hl=es,HUM450
Ciencias Humanas y Artes  ,120, CARMEN LOPEZ SUAREZ,0,0,https://scholar.google.es/citations?user=JrLVejkAAAAJ&hl=es,SEJ123
Ciencias Humanas y Artes  ,120, DILIANA IVANOVA KOVATCHEVA,0,0,http://scholar.google.es/citations?user=I8ARJSUAAAAJ&hl=es,HUM728
Ciencias Humanas y Artes  ,120, ELENA ALCALDE PEÑALVER,0,0,http://scholar.google.es/citations?user=PpONR8AAAAJ&hl=es,HUM763
Ciencias Humanas y Artes  ,120, ELENA GONZALEZ AVIDAD,0,0,https://scholar.google.es/citations?user=9xrQtY8AAAAJ&hl=es,SINGRUPO
Ciencias Humanas y Artes  ,120, FRANCISCO LUIS BAÑOS TORRES,0,0,http://scholar.google.es/citations?user=cb7hZbgAAAAJ&hl=es,HUM211
Ciencias Humanas y Artes  ,120, ISABEL Mª ANDRES CUEVAS,0,0,http://scholar.google.es/citations?user=mKO0EKkAAAAJ&hl=es,HUM592
Ciencias Humanas y Artes  ,120, JAVIER CONTRERAS BECERRA,0,0,http://scholar.google.es/citations?user=dzMXCFgAAAAJ&hl=es,HUM681
Ciencias Humanas y Artes  ,120, JESUS GAMIZ CARO,0,0,https://scholar.google.es/citations?user=GILyJF8AAAAJ&hl=es,HUM274
Ciencias Humanas y Artes  ,120, JOSE MIGUEL FUENTES MARTIN,0,0,http://scholar.google.es/citations?user=kycCkwIAAAAJ&hl=es,HUM228
Ciencias Humanas y Artes  ,120, JUAN CARLOS REINA FERNANDEZ,0,0,http://scholar.google.es/citations?user=TCtLDkAAAAJ&hl=es,HUM813
Ciencias Humanas y Artes  ,120, LAROSI HAIDAR,0,0,http://scholar.google.es/citations?user=GOs8jsAAAAAJ&hl=es,HUM835
Ciencias Humanas y Artes  ,120, LAURA GISELA PEREZ SANTANA,0,0,http://scholar.google.es/citations?user=5KWyeiQAAAAJ&hl=es,SEJ430
Ciencias Humanas y Artes  ,120, LUCIA CHOVANCOVA,0,0,https://scholar.google.es/citations?user=6KKuHGgAAAAJ&hl=es,SINGRUPO
Ciencias Humanas y Artes  ,120, LUIS DAVID RIVERO MORENO,0,0,http://scholar.google.es/citations?user=XleBQoAAAAJ&hl=es,HUM736
Ciencias Humanas y Artes  ,120, MARIA ANGELES LAMOLDA GONZALEZ,0,0,https://scholar.google.es/citations?user=jKhKOTQAAAAJ&hl=es,SINGRUPO
Ciencias Humanas y Artes  ,120, MARIA AZUCENA GONZALEZ BLANCO,0,0,https://scholar.google.es/citations?user=ISwlxF4AAAAJ&hl=es,HUM363
Ciencias Humanas y Artes  ,120, MARIA DEL PILAR TUDELA VAZQUEZ,0,0,http://scholar.google.es/citations?user=uaxNXCoAAAAJ&hl=es,SEJ430
Ciencias Humanas y Artes  ,120, ROSALIA LOPEZ FERNANDEZ,0,0,https://scholar.google.es/citations?user=XzRQghkAAAAJ&hl=es,SINGRUPO
Ciencias de la Salud  ,1, NICOLAS OLEA SERRANO,10864,45,https://scholar.google.es/citations?user=qnspPMAAAAAJ&hl=es,CTS206
Ciencias de la Salud  ,2, ANGEL GIL HERNANDEZ,9860,52,http://scholar.google.es/citations?user=cL_TePcAAAAJ&hl=es,CTS461
Ciencias de la Salud  ,3, FRANCISCO B. ORTEGA PORCEL,7798,46,http://scholar.google.com/citations?user=jZ1oU8cAAAAJ&hl=es,CTS977
Ciencias de la Salud  ,4, JONATAN RUIZ RUIZ,7672,52,http://scholar.google.com/citations?user=G224m6YAAAAJ&hl=es,CTS977
Ciencias de la Salud  ,5, DARIO ACUÑA CASTROVIEJO,6956,48,http://scholar.google.es/citations?user=eXIMfZ0AAAAJ&hl=es,CTS101
Ciencias de la Salud  ,6, GERMAINE ESCAMES ROSA,5284,44,http://scholar.google.es/citations?user=BvIAVW8AAAAJ&hl=es,CTS101
Ciencias de la Salud  ,7, MARIANA FATIMA FERNANDEZ CABRERA,4487,28,https://scholar.google.es/citations?user=LT2YqhMAAAAJ&hl=es,CTS206
Ciencias de la Salud  ,8, JUAN MANUEL DUARTE PEREZ,4452,36,https://scholar.google.es/citations?user=rDCMdVwAAAAJ&hl=en,CTS164
Ciencias de la Salud  ,9, JUAN LUPIAÑEZ CASTILLO,4153,34,http://scholar.google.es/citations?user=cBUtlc8AAAAJ&hl=es,HUM379
Ciencias de la Salud  ,10, JOSEFA LEON LOPEZ,3996,32,http://scholar.google.es/citations?user=Pk0vUowAAAAJ&hl=es,CTS227
Ciencias de la Salud  ,11, JULIO JUAN GALVEZ PERALTA,3923,36,https://scholar.google.es/citations?user=u076kysAAAAJ&hl=en,CTS164
Ciencias de la Salud  ,12, JOSE LUIS QUILES MORALES,3801,33,https://scholar.google.es/citations?user=NqMDoTUAAAAJ&hl=es,CTS627
Ciencias de la Salud  ,13, FRANCISCO NOGALES FERNANDEZ,3762,33,http://scholar.google.es/citations?user=pqG3YEcAAAAJ&hl=es,CTS196
Ciencias de la Salud  ,14, JOSE RAFAEL MORA GONZALEZ,3749,37,http://scholar.google.es/citations?user=JUr9SwAAAAJ&hl=es,CTS977
Ciencias de la Salud  ,15, VICENTE ENRIQUE CABALLO MANRIQUE,3596,29,http://scholar.google.es/citations?user=etLNEbcAAAAJ&hl=es,CTS427
Ciencias de la Salud  ,16, M. ROSARIO RUEDA CUERVA,3119,17,http://scholar.google.es/citations?user=dTFQyuMAAAAJ&hl=es,HUM379
Ciencias de la Salud  ,17, FRANCISCO J. O'VALLE RAVASSA,2971,34,http://scholar.google.es/citations?user=ICYjMakAAAAJ&hl=es,CTS138
Ciencias de la Salud  ,18, CRISTINA CAMPOY FOLGOSO,2741,28,https://scholar.google.es/citations?user=5JgYVXoAAAAJ&hl=es,CTS187
Ciencias de la Salud  ,19, LUIS CARLOS LOPEZ GARCIA,2734,32,http://scholar.google.es/citations?user=ME6Il4kAAAAJ&hl=es,CTS101
Ciencias de la Salud  ,20, MIGUEL ALAMINOS MINGORANCE,2446,25,https://scholar.google.es/citations?user=6I2uKD0AAAAJ&hl=es,CTS115
Ciencias de la Salud  ,21, FERMIN SANCHEZ DE MEDINA,2207,28,http://scholar.google.es/citations?user=Y0GzurEAAAAJ&hl=es,CTS235
Ciencias de la Salud  ,22, MIGUEL NAVARRO ALARCÓN,2197,26,https://scholar.google.es/citations?user=qig8o7UAAAAJ&hl=es,AGR141
Ciencias de la Salud  ,23, MARIA DOLORES SUAREZ ORTEGA,2094,23,http://scholar.google.es/citations?user=X53JjjYAAAAJ&hl=es,CTS235
Ciencias de la Salud  ,24, JUANA PEREZ TORRES,2069,21,http://scholar.google.es/citations?user=-rjswrwAAAAJ&hl=es,BIO318
Ciencias de la Salud  ,25, OLGA MARTINEZ AUGUSTIN,1880,26,http://scholar.google.es/citations?user=s2Tr97gAAAAJ&hl=es,CTS235
Ciencias de la Salud  ,26, BLANCA GUTIERREZ MARTINEZ,1817,24,https://scholar.google.es/citations?user=bT_qc_YAAAAJ&hl=es,CTS628
Ciencias de la Salud  ,27, JESUS FRANCISCO RODRIGUEZ HUERTAS,1784,27,http://scholar.google.es/citations?user=p37PgLEAAAAJ&hl=es,CTS454
Ciencias de la Salud  ,28, ROSA PULGAR ENCINAS,1719,12,http://scholar.google.es/citations?user=k7bGnHUAAAAJ&hl=es,CTS356
Ciencias de la Salud  ,29, MARIA BELEN RODELAS GONZALEZ,1631,22,http://scholar.google.es/citations?user=yEVskYgAAAAJ&hl=es,RNM270
Ciencias de la Salud  ,30, PABLO ANTONIO GALINDO MORENO,1596,21,http://scholar.google.es/citations?user=5mXMw3oAAAAJ&hl=es,CTS583
Ciencias de la Salud  ,31, ANDRES CATENA MARTINEZ,1590,21,http://scholar.google.com/citations?user=CBTG_jQAAAAJ&hl=es,CTS176
Ciencias de la Salud  ,32, ANGELES RUIZ EXTREMERA,1589,16,http://scholar.google.es/citations?user=5-Ez1z8AAAAJ&hl=es,CTS227
Ciencias de la Salud  ,33, JOSE JUAN CAÑAS DELGADO,1563,21,http://scholar.google.es/citations?user=mxzfi_wAAAAJ&hl=es,HUM687
Ciencias de la Salud  ,34, JOSE GUTIERREZ FERNANDEZ,1554,20,http://scholar.google.es/citations?user=ojjk9kgAAAAJ&hl=es,CTS521
Ciencias de la Salud  ,35, EMILIO MARTINEZ DE VITORIA MUÑOZ,1420,14,http://scholar.google.es/citations?user=PAbmM9kAAAAJ&hl=es,SINGRUPO
Ciencias de la Salud  ,36, JORGE CERVILLA BALLESTEROS,1399,21,https://scholar.google.es/citations?user=XkBqdS8AAAAJ&hl=es,CTS322
Ciencias de la Salud  ,37, MANUEL GURPEGUI FERNANDEZ DE LEGARIA,1392,23,http://scholar.google.es/citations?user=9Tt-eZIAAAAJ&hl=es,CTS549
Ciencias de la Salud  ,38, ROSARIO JIMENEZ MOLEON,1372,17,http://scholar.google.es/citations?user=NUf2v_wAAAAJ&hl=es,CTS164
Ciencias de la Salud  ,39, CONCEPCIÓN MARIA AGUILERA GARCIA,1349,20,https://scholar.google.es/citations?user=JBU2WBMAAAAJ&hl=es,CTS461
Ciencias de la Salud  ,40, JOSE ANGEL RUFIAN HENARES,1304,21,http://scholar.google.es/citations?user=iLFj9zYAAAAJ&hl=es,AGR141
Ciencias de la Salud  ,41, MARIA DOLORES MESA GARCIA,1254,18,https://scholar.google.es/citations?user=UQnqod4AAAAJ&hl=es,CTS461
Ciencias de la Salud  ,42, PILAR ARANDA RAMIREZ,1249,20,http://scholar.google.es/citations?user=IMZmCwUAAAAJ&hl=es,AGR145
Ciencias de la Salud  ,43, JULIO JOSE OCHOA HERRERA,1101,22,http://scholar.google.es/citations?user=in-xqTIAAAAJ&hl=es,CTS627
Ciencias de la Salud  ,44, MANUEL AMEZCUA MARTINEZ,1072,15,http://scholar.google.es/citations?user=CZZNZ7MAAAAJ&hl=es,SEJ126
Ciencias de la Salud  ,45, RAFAEL SALTO GONZALEZ,1059,18,http://scholar.google.es/citations?user=-6MRgYsAAAAJ&hl=es,BIO212
Ciencias de la Salud  ,46, ANGEL CORREA TORRES,1054,16,http://scholar.google.es/citations?user=7Eh5tlUAAAAJ&hl=es,HUM957
Ciencias de la Salud  ,47, ANGEL ORTE GUTIERREZ,1035,17,http://scholar.google.es/citations?user=awlj93IAAAAJ&hl=es,FQM247
Ciencias de la Salud  ,48, MANUEL ARROYO MORALES,1029,18,https://scholar.google.es/citations?user=5MLlxuwAAAAJ&hl=es,BIO277
Ciencias de la Salud  ,49, ANTONIO MALDONADO LOPEZ,922,18,http://scholar.google.es/citations?user=QFS3qvoAAAAJ&hl=es,CTS176
Ciencias de la Salud  ,50, DANIEL SANABRIA LUCENA,848,18,http://scholar.google.es/citations?user=5pm-Q1oAAAAJ&hl=es,HUM957
Ciencias de la Salud  ,51, CONCEPCION RUIZ RODRIGUEZ,838,18,https://scholar.google.es/citations?user=ALfqI9oAAAAJ&hl=es,BIO277
Ciencias de la Salud  ,52, PALMA CHILLON GARZON,836,16,http://scholar.google.es/citations?user=RSltLL8AAAAJ&hl=es,CTS977
Ciencias de la Salud  ,53, PABLO TERCEDOR SANCHEZ,835,14,http://scholar.google.es/citations?user=HV3cUV0AAAAJ&hl=es,HUM161
Ciencias de la Salud  ,54, AHMAD AGIL ABDALLA,822,16,https://scholar.google.es/citations?user=shO6B8AAAAAJ&hl=es,CTS109
Ciencias de la Salud  ,54, ENRIQUE JOSE COBOS DEL MORAL,822,15,http://scholar.google.es/citations?user=RAczPHAAAAAJ&hl=es,CTS109
Ciencias de la Salud  ,56, JUAN JOSE DIAZ MOCHON,805,18,http://scholar.google.es/citations?user=x4_FYcsAAAAJ&hl=es,CTS987
Ciencias de la Salud  ,57, JULIO SANTIAGO TORRES,797,14,http://scholar.google.es/citations?user=1dg-BXEAAAAJ&hl=es,HUM379
Ciencias de la Salud  ,58, Mª DOLORES RUIZ LOPEZ,773,14,http://scholar.google.es/citations?user=_GS_VI0AAAAJ&hl=es,AGR141
Ciencias de la Salud  ,59, LUIS FONTANA GALLEGO,746,14,https://scholar.google.es/citations?user=Y4LJRLQAAAAJ&hl=es,CTS461
Ciencias de la Salud  ,60, ANTONIO CANDIDO ORTIZ,743,16,http://scholar.google.es/citations?user=2Y0sz0MAAAAJ&hl=es,CTS176
Ciencias de la Salud  ,61, JESUS VICIANA RAMIREZ,698,12,http://scholar.google.es/citations?user=EtWf2PsAAAAJ&hl=es,HUM764
Ciencias de la Salud  ,62, MAXIMINO MANZANERA RUIZ,697,15,http://scholar.google.es/citations?user=rJ_PRNUAAAAJ&hl=es,RNM270
Ciencias de la Salud  ,63, JOSE CESAR PERALES LOPEZ,693,15,http://scholar.google.es/citations?user=iXICGWwAAAAJ&hl=es,CTS176
Ciencias de la Salud  ,64, FRANCISCO LUIS MESA AGUADO,652,13,http://scholar.google.es/citations?user=hi0L78kAAAAJ&hl=es,CTS583
Ciencias de la Salud  ,65, ANA BELEN CHICA MARTINEZ,651,16,http://scholar.google.es/citations?user=xziCOdsAAAAJ&hl=es,HUM379
Ciencias de la Salud  ,66, AURELIO UREÑA ESPA,634,13,http://scholar.google.es/citations?user=srPlC_0AAAAJ&hl=es,CTS362
Ciencias de la Salud  ,67, RAUL ARELLANO COLOMINA,593,11,http://scholar.google.es/citations?user=n-cKhUMAAAAJ&hl=es,CTS527
Ciencias de la Salud  ,68, MIGUEL ROMERO PEREZ,563,13,http://scholar.google.es/citations?user=8oRs9ScAAAAJ&hl=es,CTS164
Ciencias de la Salud  ,69, ANTONIO MANUEL MARTIN PLATERO,560,13,http://scholar.google.es/citations?user=TjsWZ_AAAAAJ&hl=es,BIO160
Ciencias de la Salud  ,70, F. JAVIER ADROHER AUROUX,556,15,http://scholar.google.es/citations?user=OofndYcAAAAJ&hl=es,BIO243
Ciencias de la Salud  ,71, MARIA MAGDALENA CUENCA GARCIA,533,13,https://scholar.google.es/citations?user=JeedR5UAAAAJ&hl=es,CTS262
Ciencias de la Salud  ,72, MIKEL ZABALA DIAZ,523,12,http://scholar.google.es/citations?user=enZemLcAAAAJ&hl=es,HUM957
Ciencias de la Salud  ,73, C.LOURDES DIAZ RODRIGUEZ,483,13,http://scholar.google.es/citations?user=11nkU9gAAAAJ&hl=es,BIO277
Ciencias de la Salud  ,73, TERESA ORTIZ GOMEZ,483,12,http://scholar.google.es/citations?user=wELQVMUAAAAJ&hl=es,HUM603
Ciencias de la Salud  ,75, PANDELIS PERAKAKIS,459,11,http://scholar.google.es/citations?user=5S-EVSAAAAAJ&hl=es,HUM388
Ciencias de la Salud  ,76, JUAN PEDRO ARREBOLA MORENO,457,11,https://scholar.google.es/citations?user=oYMUk3oAAAAJ&hl=es,CTS206
Ciencias de la Salud  ,77, PAULINO PADIAL PUCHE,446,11,http://scholar.google.es/citations?user=1s9lDe0AAAAJ&hl=es,SEJ438
Ciencias de la Salud  ,78, FELISA GONZALEZ REYES,412,10,http://scholar.google.es/citations?user=VLzZhDUAAAAJ&hl=es,HUM784
Ciencias de la Salud  ,79, JESUS LOPEZ MEGIAS,388,9,http://scholar.google.es/citations?user=QhbVJi0AAAAJ&hl=es,HUM289
Ciencias de la Salud  ,80, MIGUEL ANGEL MUÑOZ GARCIA,387,9,http://scholar.google.es/citations?user=dlK_koUAAAAJ&hl=es,HUM388
Ciencias de la Salud  ,81, FRANCISCO NIETO LOPEZ,376,7,http://scholar.google.es/citations?user=5uy_OlIAAAAJ&hl=es,CTS109
Ciencias de la Salud  ,82, INMACULADA GARCIA GARCIA,372,10,http://scholar.google.es/citations?user=5eVna5MAAAAJ&hl=es,HUM183
Ciencias de la Salud  ,83, JAVIER DIAZ CASTRO,370,10,https://scholar.google.es/citations?user=4Gk4Ih0AAAAJ&hl=es,AGR206
Ciencias de la Salud  ,84, MARIA BELEN FERICHE FERNANDEZ-CASTANYS,362,11,http://scholar.google.es/citations?user=JppakgoAAAAJ&hl=es,SEJ438
Ciencias de la Salud  ,85, ELIZABET ARANDA BALLESTEROS,354,12,https://scholar.google.es/citations?user=oYEbihEAAAAJ&hl=es,RNM270
Ciencias de la Salud  ,86, FRANCISCO J. BARRERO HERNANDEZ,334,9,http://scholar.google.es/citations?user=uJTVGNEAAAAJ&hl=es,CTS438
Ciencias de la Salud  ,87, PEDRO MARIA GUERRA MUÑOZ,321,9,http://scholar.google.es/citations?user=JocdVk0AAAAJ&hl=es,HUM388
Ciencias de la Salud  ,88, ADORACION ANTOLI CABRERA,320,9,http://scholar.google.es/citations?user=gwRxSzwAAAAJ&hl=es,HUM687
Ciencias de la Salud  ,89, CESAR HUESO MONTORO,314,10,http://scholar.google.es/citations?user=DKP_6AEAAAAJ&hl=es,CTS436
Ciencias de la Salud  ,90, LEANDRO LUIGI DI STASI,309,11,http://scholar.google.es/citations?user=hHPBCh8AAAAJ&hl=es,HUM687
Ciencias de la Salud  ,91, ROSARIO MORENO-TORRES HERRERA,268,8,http://scholar.google.com/citations?user=lq8wBvoAAAAJ&hl=es,CTS187
Ciencias de la Salud  ,92, CANDIDA CASTRO RAMIREZ,218,9,https://scholar.google.es/citations?user=zNANd0EAAAAJ&hl=es,SEJ069
Ciencias de la Salud  ,93, MARIA J. BELEN JUAREZ JIMENEZ,214,7,https://scholar.google.es/citations?user=pFJrTG8AAAAJ&hl=es,RNM270
Ciencias de la Salud  ,94, LUIS MIGUEL DE PABLOS TORRO,186,8,http://scholar.google.es/citations?user=F6KjwfQAAAAJ&hl=es,CTS183
Ciencias de la Salud  ,95, ANTONIA - PILAR PACHECO UNGUETTI,185,5,http://scholar.google.es/citations?user=Ca66DRAAAAAJ&hl=es,HUM379
Ciencias de la Salud  ,96, ISABEL DE BRUGADA SAURAS,180,8,http://scholar.google.es/citations?user=FVBPHnYAAAAJ&hl=es,HUM784
Ciencias de la Salud  ,97, MANUEL GOMEZ GUZMAN,170,8,http://scholar.google.es/citations?user=UvxndJMAAAAJ&hl=es,CTS164
Ciencias de la Salud  ,98, RAFAEL IGNACIO MADRID LOPEZ,163,5,http://scholar.google.es/citations?user=ElDWfQIAAAAJ&hl=es,HUM687
Ciencias de la Salud  ,99, MIGUEL ANGEL LOPEZ ÁLVAREZ,160,7,http://scholar.google.es/citations?user=TcxaRwIAAAAJ&hl=es,CTS654
Ciencias de la Salud  ,100, LAURA MORENO LOPEZ,147,6,http://scholar.google.es/citations?user=smDOo-EAAAAJ&hl=es,CTS581
Ciencias de la Salud  ,101, DAVID CONTRERAS ROS,143,4,http://scholar.google.es/citations?user=oZ9rChkAAAAJ&hl=es,CTS176
Ciencias de la Salud  ,102, ANTONIO VALENZUELA RUIZ,137,7,http://scholar.google.es/citations?user=RBy5LZsAAAAJ&hl=es,CTS190
Ciencias de la Salud  ,103, JESSICA PURSWANI,128,5,https://scholar.google.es/citations?user=hu67LvcAAAAJ&hl=es,RNM270
Ciencias de la Salud  ,104, JOSE MARIA HEREDIA JIMENEZ,124,6,http://scholar.google.es/citations?user=L_4utwgAAAAJ&hl=es,CTS545
Ciencias de la Salud  ,105, MARIE CARMEN VALENZA,121,7,http://scholar.google.es/citations?user=Sw2J44oAAAAJ&hl=es,CTS009
Ciencias de la Salud  ,106, CARMEN MARIA GONZALEZ DOMENECH,118,7,http://scholar.google.es/citations?user=xxgwrz0AAAAJ&hl=es,BIO188
Ciencias de la Salud  ,107, FRANCISCO DIAZ ATIENZA,116,5,http://scholar.google.es/citations?user=vnNnqEYAAAAJ&hl=es,CTS549
Ciencias de la Salud  ,108, JULIO PLAZA DIAZ,109,4,https://scholar.google.es/citations?user=d-GPZIEAAAAJ&hl=es,CTS461
Ciencias de la Salud  ,108, RAFAEL MONTOYA JUAREZ,109,7,http://scholar.google.es/citations?user=nrdWsUoAAAAJ&hl=es,CTS436
Ciencias de la Salud  ,110, ANDREA FLUMINI,96,4,https://scholar.google.es/citations?user=aEWfbUgAAAAJ&hl=es,SINGRUPO
Ciencias de la Salud  ,111, MARIA CAROLINA DIAZ PIEDRA,87,5,http://scholar.google.es/citations?user=mnHx_ScAAAAJ&hl=es,CTS176
Ciencias de la Salud  ,112, ALBERTO MEGIAS ROBLES,83,5,http://scholar.google.es/citations?user=zCHxUucAAAAJ&hl=es,CTS176
