"UNIVERSIDAD DE GRANADA","Nº MEDIO DE CRÉDITOS MATRICULADOS","Nº MEDIO DE CRÉDITOS PRESENTADOS","Nº MEDIO DE CRÉDITOS SUPERADOS"
"ARTES Y HUMANIDADES","52,40","40,06","35,08 "
"CIENCIAS","59,00","42,36","34,71 "
"CIENCIAS DE LA SALUD","71,34","54,65","46,55 "
"CIENCIAS SOCIALES Y JURÍDICAS","54,40","41,83","33,05 "
"INGENIERÍA Y ARQUITECTURA","47,56","32,71","26,62 "
"TODAS LAS RAMAS","55,32","41,48","33,85"
