CURSO , VARONES , MUJERES , TOTALES 
PRIMERO , 1 , 0 , 1 
SEGUNDO , 1 , 0 , 1 
TERCERO , 6 , 1 , 7 
CUARTO , 0 , 0 , 0 
QUINTO , 0 , 0 , 0 
SEXTO , 0 , 0 , 0 
