, VARONES, , MUJERES, , TOTALES, 
CURSO , NOREP, REPET , NOREP, REPET , NOREP, REPET 
PRIMERO , 0,1 , 0,0 , 0,1 
SEGUNDO , 0,1 , 0,0 , 0,1 
TERCERO , 0,6 , 0,1 , 0,7 
CUARTO , 0,0 , 0,0 , 0,0 
QUINTO , 0,0 , 0,0 , 0,0 
SEXTO , 0,0 , 0,0 , 0,0 
