UNIVERSIDAD DE GRANADA,Nº MEDIO DE CRÉDITOS MATRICULADOS,Nº MEDIO DE CRÉDITOS PRESENTADOS,Nº MEDIO DE CRÉDITOS SUPERADOS
ARTES Y HUMANIDADES,"57,18","50,90","45,63"
CIENCIAS,"59,81","52,63","40,80"
CIENCIAS DE LA SALUD,"60,06","56,72","51,30"
CIENCIAS SOCIALES Y JURÍDICAS,"58,98","54,21","47,48"
INGENIERÍA Y ARQUITECTURA,"54,39","44,49","33,79"
TODAS LAS RAMAS,"58,43","52,83","45,55"
