UNIVERSIDAD DE GRANADA,Nº MEDIO DE CRÉDITOS MATRICULADOS,Nº MEDIO DE CRÉDITOS PRESENTADOS,Nº MEDIO DE CRÉDITOS SUPERADOS
ARTES Y HUMANIDADES,"56,97","50,94","45,84"
CIENCIAS,"56,71","50,91","41,96"
CIENCIAS DE LA SALUD,"58,18","55,43","51,08"
CIENCIAS SOCIALES Y JURÍDICAS,"57,30","52,48","46,49"
INGENIERÍA Y ARQUITECTURA,"53,12","45,49","35,80"
TODAS LAS RAMAS,"56,47","51,18","44,54"
