CURSO , PRIMERO , SEGUNDO , TERCERO , CUARTO , QUINTO , SEXTO 
PRIMERO , 6 , , , , , 
SEGUNDO , 0 , 4 , , , , 
TERCERO , 1 , 6 , 13 , , , 
CUARTO , 1 , 4 , 9 , 13 , , 
QUINTO , 0 , 6 , 14 , 27 , 20 , 
SEXTO , 0 , 0 , 0 , 0 , 0 , 0 
