CURSO , PRIMERO , SEGUNDO , TERCERO , CUARTO , QUINTO , SEXTO 
PRIMERO , 313 , , , , , 
SEGUNDO , 1 , 18 , , , , 
TERCERO , 7 , 17 , 44 , , , 
CUARTO , 1 , 9 , 22 , 28 , , 
QUINTO , 0 , 14 , 39 , 67 , 48 , 
SEXTO , 0 , 0 , 0 , 0 , 0 , 0 
