, VARONES, , MUJERES, , TOTALES 
CURSO , NOREP, REPET , NOREP, REPET , NOREP, REPET 
PRIMERO , 0,2 , 305,6 , 305,8 
SEGUNDO , 4,8 , 3,4 , 7,12 
TERCERO , 1,24 , 22,20 , 23,44 
CUARTO , 7,18 , 5,24 , 12,42 
QUINTO , 8,57 , 10,55 , 18,112 
SEXTO , 0,0 , 0,0 , 0,0 
