EDADES , VARONES , MUJERES , TOTALES 
(HASTA) 17 , 0 , 1 , 1 
18 , 0 , 1 , 1 
19 , 1 , 15 , 16 
20 , 0 , 90 , 90 
21 , 0 , 75 , 75 
22 , 1 , 59 , 60 
23 , 4 , 39 , 43 
24 , 6 , 31 , 37 
25 , 8 , 29 , 37 
26 , 5 , 11 , 16 
27 , 15 , 16 , 31 
28 , 12 , 19 , 31 
29 , 10 , 6 , 16 
(Y MAS) 30 , 67 , 62 , 129 
TOTALES , 129 , 454 , 583 
MAYORES 28 , 89 , 87 , 176 
