CURSO , PRIMERO , SEGUNDO , TERCERO , CUARTO , QUINTO , SEXTO 
PRIMERO , 2 , , , , , 
SEGUNDO , 0 , 8 , , , , 
TERCERO , 3 , 8 , 14 , , , 
CUARTO , 0 , 3 , 7 , 11 , , 
QUINTO , 0 , 7 , 21 , 30 , 20 , 
SEXTO , 0 , 0 , 0 , 0 , 0 , 0 
