CURSO , VARONES , MUJERES , TOTALES 
PRIMERO , 2 , 311 , 313 
SEGUNDO , 12 , 7 , 19 
TERCERO , 25 , 42 , 67 
CUARTO , 25 , 29 , 54 
QUINTO , 65 , 65 , 130 
SEXTO , 0 , 0 , 0 
