TIPO DE BECA , ALUMNOS 
MEC. RÉGIMEN GENERAL , 10703 
MIN. "TRABAJO, ASUNTOS" SOCIALES , 21 
MINISTERIO ASUNTOS EXTERIORES , 129 
SIN ESPECIFICAR , 1440 
GOBIERNO VASCO , 4 
"SÓCRATES, ERASMUS" (Europa Occ) , 600 
"SÍCUE, SÉNECA" (Nacional) , 96 
LIBRE INTERCAMBIO (Internac.) , 16 
CONV. BILATERALES (Internac.) , 30 
MARRUECOS , 50 
TOTAL BECARIOS , 13089 
