EDADES , VARONES , MUJERES , TOTALES 
(HASTA) 17 , 434 , 736 , 1170 
18 , 1960 , 3312 , 5272 
19 , 2287 , 3733 , 6020 
20 , 2580 , 3932 , 6512 
21 , 2847 , 3774 , 6621 
22 , 2855 , 3766 , 6621 
23 , 2539 , 2985 , 5524 
24 , 2096 , 2301 , 4397 
25 , 1595 , 1659 , 3254 
26 , 1184 , 1240 , 2424 
27 , 871 , 828 , 1699 
28 , 612 , 623 , 1235 
29 , 402 , 458 , 860 
(Y MAS) 30 , 2095 , 2019 , 4114 
TOTALES , 24357 , 31366 , 55723 
MAYORES 28 , 3109 , 3100 , 6209 
