del , con asignaturas de 
CURSO , PRIMERO , SEGUNDO , TERCERO , CUARTO , QUINTO , SEXTO 
PRIMERO , 6923 , , , , , 
SEGUNDO , 5198 , 1406 , , , , 
TERCERO , 4185 , 5056 , 1524 , , , 
CUARTO , 2106 , 2119 , 3126 , 929 , , 
QUINTO , 1736 , 1634 , 2629 , 3887 , 892 , 
SEXTO , 2 , 25 , 27 , 56 , 85 , 150 
