, VARONES, , MUJERES, , TOTALES 
CURSO , NOREP, REPET , NOREP, REPET , NOREP, REPET 
PRIMERO , 4571,687 , 6165,758 , 10736,1445 
SEGUNDO , 3070,1637 , 4692,1912 , 7762,3549 
TERCERO , 2863,3079 , 4131,3223 , 6994,6302 
CUARTO , 2122,1594 , 2801,2017 , 4923,3611 
QUINTO , 1939,2603 , 2371,3022 , 4310,5625 
SEXTO , 132,53 , 201,54 , 333,107 
