CURSO , VARONES , MUJERES , TOTALES 
PRIMERO , 0 , 0 , 0 
SEGUNDO , 0 , 0 , 0 
TERCERO , 4 , 1 , 5 
CUARTO , 0 , 0 , 0 
QUINTO , 0 , 0 , 0 
SEXTO , 0 , 0 , 0 
