, VARONES, , MUJERES, , TOTALES 
CURSO , NOREP, REPET , NOREP, REPET , NOREP, REPET 
PRIMERO , 3971,708 , 5498,700 , 9469,1408 
SEGUNDO , 3936,1813 , 5658,2424 , 9594,4237 
TERCERO , 3624,3335 , 5523,3487 , 9147,6822 
CUARTO , 2103,1216 , 3127,1830 , 5230,3046 
QUINTO , 2008,2869 , 2473,2887 , 4481,5756 
SEXTO , 72,64 , 127,50 , 199,114 
