del , con asignaturas de 
CURSO , PRIMERO , SEGUNDO , TERCERO , CUARTO , QUINTO , SEXTO 
PRIMERO , 6198 , , , , , 
SEGUNDO , 6260 , 1822 , , , , 
TERCERO , 4076 , 5504 , 2540 , , , 
CUARTO , 1075 , 1504 , 3054 , 1491 , , 
QUINTO , 306 , 865 , 2161 , 3631 , 1283 , 
SEXTO , 4 , 26 , 29 , 36 , 72 , 88 
