CURSO , VARONES , MUJERES , TOTALES 
PRIMERO , 4679 , 6198 , 10877 
SEGUNDO , 5749 , 8082 , 13831 
TERCERO , 6959 , 9010 , 15969 
CUARTO , 3319 , 4957 , 8276 
QUINTO , 4877 , 5360 , 10237 
SEXTO , 136 , 177 , 313 
