TIPO DE BECA , ALUMNOS 
MEC. REGIMEN GENERAL , 5128 
MEC. COLABORACION , 0 
MEC. PROMOCION EDUCATIVA , 0 
MINIST."TRABAJO,ASUNTOS" SOCIALS , 16 
MINISTERIO ASUNTOS EXTERIORES , 5 
JUNTA DE ANDALUCIA , 0 
OTRAS COMUNIDADES AUTONOMAS , 0 
SIN ESPECIFICAR , 5558 
UNIVERSIDAD DE GRANADA , 20 
GOBIERNO VASCO , 15 
PRECIOS PUBLICOS , 49 
TOTAL BECARIOS , 10791 
