EDADES , VARONES , MUJERES , TOTALES 
(HASTA) 17 , 496 , 742 , 1238 
18 , 2123 , 3287 , 5410 
19 , 2476 , 3710 , 6186 
20 , 2994 , 3827 , 6821 
21 , 3071 , 3813 , 6884 
22 , 2905 , 3539 , 6444 
23 , 2369 , 2827 , 5196 
24 , 1806 , 2100 , 3906 
25 , 1423 , 1532 , 2955 
26 , 1104 , 1140 , 2244 
27 , 840 , 756 , 1596 
28 , 669 , 629 , 1298 
29 , 536 , 480 , 1016 
(Y MAS) 30 , 2538 , 2610 , 5148 
TOTALES , 25350 , 30992 , 56342 
MAYORES 28 , 3743 , 3719 , 7462 
