CURSO , PRIMERO , SEGUNDO , TERCERO , CUARTO , QUINTO , SEXTO 
PRIMERO , 9947 , , , , , 
SEGUNDO , 8452 , 3077 , , , , 
TERCERO , 8608 , 10930 , 2763 , , , 
CUARTO , 3756 , 4560 , 5500 , 1457 , , 
QUINTO , 3515 , 4258 , 5679 , 7766 , 1405 , 
SEXTO , 102 , 235 , 292 , 350 , 524 , 217 
