, VARONES, , MUJERES, , TOTALES, 
CURSO , NOREP, REPET , NOREP, REPET , NOREP, REPET 
PRIMERO , 4074,447 , 4965,461 , 9039,908 
SEGUNDO , 3216,1579 , 4634,2100 , 7850,3679 
TERCERO , 3196,3191 , 4804,3807 , 8000,6998 
CUARTO , 2119,1790 , 2172,2383 , 4291,4173 
QUINTO , 2381,3028 , 2005,3148 , 4386,6176 
SEXTO , 181,148 , 298,215 , 479,363 
