TIPO DE BECA , ALUMNOS 
MEC. RÉGIMEN GENERAL , 11238 
MIN. "TRABAJO, ASUNTOS" SOCIALES , 12 
MINISTERIO ASUNTOS EXTERIORES , 84 
SIN ESPECIFICAR , 1096 
GOBIERNO VASCO , 17 
LLP/ERASMUS (Europa Occ) , 1931 
"SÍCUE, SÉNECA" (Nacional) , 475 
LIBRE MOVILID./INTERC(Intern.) , 47 
INTERCAMBIO (Internac.) , 392 
MARRUECOS , 40 
PDI , 0 
PAS , 0 
TOTAL BECARIOS , 15332 
