LUGAR DE RESIDENCIA , VARONES , MUJERES , TOTALES 
ALBACETE , 39 , 74 , 113 
ALICANTE , 116 , 168 , 284 
ALMERÍA , 1265 , 1673 , 2938 
BADAJOZ , 120 , 209 , 329 
BALEARES , 94 , 147 , 241 
BARCELONA , 294 , 404 , 698 
BURGOS , 14 , 15 , 29 
CANTABRIA , 25 , 30 , 55 
CASTELLÓN , 10 , 15 , 25 
CEUTA , 390 , 519 , 909 
CIUDAD REAL , 148 , 297 , 445 
"CORUÑA, LA" , 27 , 43 , 70 
CUENCA , 8 , 14 , 22 
CÁCERES , 30 , 40 , 70 
CÁDIZ , 1216 , 1493 , 2709 
CÓRDOBA , 978 , 1512 , 2490 
EXTRANJERO , 293 , 356 , 649 
GERONA , 33 , 25 , 58 
GRANADA , 11693 , 15430 , 27123 
GUADALAJARA , 9 , 10 , 19 
GUIPUZCUA , 38 , 43 , 81 
HUELVA , 181 , 235 , 416 
HUESCA , 14 , 17 , 31 
JAÉN , 2226 , 3007 , 5233 
LA RIOJA , 12 , 19 , 31 
LERIDA , 18 , 12 , 30 
LEÓN , 18 , 23 , 41 
LUGO , 3 , 5 , 8 
MADRID , 276 , 404 , 680 
MELILLA , 355 , 560 , 915 
MURCIA , 331 , 493 , 824 
MÁLAGA , 1523 , 1794 , 3317 
NAVARRA , 23 , 35 , 58 
ORENSE , 5 , 13 , 18 
OVIEDO , 28 , 53 , 81 
PALENCIA , 2 , 7 , 9 
"PALMAS,LAS" , 105 , 204 , 309 
PONTEVEDRA , 12 , 21 , 33 
SALAMANCA , 15 , 17 , 32 
SEGOVIA , 17 , 32 , 49 
SEVILLA , 461 , 552 , 1013 
SORIA , 5 , 10 , 15 
STA. CRUZ DE TENERIF , 75 , 102 , 177 
TARRAGONA , 18 , 29 , 47 
TERUEL , 3 , 8 , 11 
TOLEDO , 28 , 39 , 67 
VALENCIA , 65 , 85 , 150 
VALLADOLID , 24 , 35 , 59 
VIZCAYA , 66 , 55 , 121 
ZAMORA , 9 , 6 , 15 
ZARAGOZA , 27 , 52 , 79 
ÁLAVA , 20 , 37 , 57 
ÁVILA , 4 , 3 , 7 
ALBANIA , 1 , 0 , 1 
ALEMANIA , 123 , 18 , 141 
ANDORRA , 1 , 1 , 2 
ARGENTINA , 1 , 0 , 1 
AUSTRALIA , 2 , 0 , 2 
AUSTRIA , 9 , 1 , 10 
BOLIVIA , 1 , 0 , 1 
BOSNIA HERZEGOVINA , 0 , 1 , 1 
BRASIL , 2 , 1 , 3 
BULGARIA , 2 , 0 , 2 
BÉLGICA , 36 , 2 , 38 
CHECOSLOVAQUIA , 1 , 1 , 2 
COLOMBIA , 0 , 2 , 2 COREA DEL NORTE , 1 , 0 , 1 
CROACIA , 1 , 0 , 1 
CUBA , 0 , 1 , 1 
DINAMARCA , 8 , 0 , 8 
DOMINICA , 1 , 0 , 1 
EE. UU. DE AMERICA , 1 , 4 , 5 
EL SALVADOR , 1 , 0 , 1 
ESLOVAQUIA , 3 , 0 , 3 
ESLOVENIA , 0 , 1 , 1 
ESPAÑA , 193 , 101 , 294 
ESTONIA , 1 , 0 , 1 
FINLANDIA , 10 , 5 , 15 
FRANCIA , 113 , 17 , 130 
GRECIA , 3 , 1 , 4 
GUINEA ECUATORIAL , 1 , 0 , 1 
HAITÍ , 0 , 1 , 1 
HOLANDA (PAISES BAJO , 11 , 6 , 17 
HONDURAS , 0 , 1 , 1 
HONG-KONG , 0 , 1 , 1 
HUNGRIA , 1 , 0 , 1 
IRAK , 0 , 1 , 1 
IRLANDA (EIRE) , 5 , 0 , 5 
IRÁN , 2 , 0 , 2 
ISLANDIA , 1 , 0 , 1 
ISRAEL , 4 , 0 , 4 
ITALIA , 119 , 9 , 128 
JORDANIA , 2 , 0 , 2 
KUWAIT , 1 , 0 , 1 
LUXEMBURGO , 2 , 0 , 2 
LÍBANO , 4 , 0 , 4 
MARRUECOS , 112 , 110 , 222 
MÉXICO , 0 , 2 , 2 
NORUEGA , 14 , 1 , 15 
PAKISTÁN , 0 , 1 , 1 
PERÚ , 3 , 0 , 3 
POLONIA , 17 , 2 , 19 
PORTUGAL , 7 , 1 , 8 
REINO UNIDO , 73 , 20 , 93 
RUANDA-BURÚN , 1 , 0 , 1 
RUMANÍA , 4 , 2 , 6 
SINGAPUR , 1 , 0 , 1 
SIRIA , 4 , 0 , 4 
SUECIA , 5 , 2 , 7 
SUIZA , 13 , 3 , 16 
U. R. S. S. , 1 , 1 , 2 
SIN ESPECIFICAR , 633 , 565 , 1198 
