, VARONES, , MUJERES, , TOTALES, 
CURSO , NOREP, REPET , NOREP, REPET , NOREP, REPET 
PRIMERO , 4571,687 , 6165,758 , 10736,1445 
SEGUNDO , 3070,1639 , 4692,1913 , 7762,3552 
TERCERO , 2863,3085 , 4131,3223 , 6994,6308 
CUARTO , 2122,1594 , 2801,2017 , 4923,3611 
QUINTO , 1939,2603 , 2371,3022 , 4310,5625 
SEXTO , 132,53 , 201,54 , 333,107 
