del , con asignaturas de 
CURSO , PRIMERO , SEGUNDO , TERCERO , CUARTO , QUINTO , SEXTO 
PRIMERO , 1445 , , , , , 
SEGUNDO , 2759 , 793 , , , , 
TERCERO , 3269 , 4263 , 1473 , , , 
CUARTO , 1303 , 1429 , 2235 , 870 , , 
QUINTO , 1504 , 1508 , 2612 , 3771 , 1247 , 
SEXTO , 4 , 34 , 36 , 53 , 58 , 26 
