"Económica  485"
"Ordenación:  Nº reg. justificante "
Descripción,"Nombre Proveedor","Importe Total"
"Cuota anual a Asociación Andaluza de Soc","ASOCIACION ANDALUZA DE SOCIOLOGIA","300,00"
"FINANCIACION PREMIO CONCURSO CIENCIA EN","ASOCIACION CIENCIA EN ACCION","1500,00"
"Pago de la cuota por pertenecer a la UNE","ASOCIACION DE EDITORIALES UNIVERSITARIAS","2500,00"
"Cuota anual Asociación Española de Cienc","ASOCIACION ESPAÑOLA DE CIENCIA POLITICA","300,00"
"CUOTA AECA 2013","ASOCIACION ESPAÑOLA DE CONTABILIDAD Y AD","400,00"
"CUOTA SOCIO AEDOM 2013","ASOCIACION ESPAÑOLA DE DOCUMENTACION MUS","90,00"
"CUOTA SOCIO ATIC 2013 - Asociación Españ","ASOCIACION ESPAÑOLA DE UNIVERSIDADES CON","300,00"
"75% AYUDA I CONVOCATORIA DE PROYECTOS UN","ASOCIACION GITANA ANAQUERANDO DE GRANADA","1125,00"
"CANTIDAD PROVENIENTE DE LA JUNTA DE ANDA","ASOCIACION GRANADA UNIVERSIADA DE INVIER","175532,25"
"Ayuda celebración I Jornada de Reflexión","ASOCIACION PARA LA DEFENSA DE LA SANIDAD","700,00"
"Ayuda jornadas de orientacion","ASOCIACION PARA LAS DIFUSION DEL PATRIMO","773,99"
"AYUDA I CONVOCATORIA DE PROYECTOS UNIVER","ASOCIACION SOLIDARIA ANDALUZA DE DESARRO","2250,00"
"75% AYUDA I CONVOCATORIA DE PROYECTOS UN","ASOCIACION TEJIENDO REDES:  FORMACION E","2250,00"
"Pago a la Tuna de Arquitectura Técnica,","ASOCIACION TUNA ARQUITECTURA TECNICA","500,00"
"Organizar I Certamen de Tunas ""Sexituna""","ASOCIACION TUNA ARQUITECTURA TECNICA","500,00"
"APORTACION ECONOMICA DEL CENTRO E.T.S. D","ASOCIACION TUNA ARQUITECTURA TECNICA","1500,00"
"BRINGINS EUROPEANS TOGETHER ASSOCIATION","BRINGING EUROPEANS TOGETHER ASSOCIATION","700,00"
"PAGO 2º CORRESPONDIENTE AL AÑO 2012 CONV","CONFEDERACION ANDALUZA DE ORGANIZACIONES","13000,00"
"ABONO CUOTA ANUAL 2013 A LA ASOCIACION ""","CONFERENCIA ANDALUZA DE DIRECTORES DE CE","100,00"
"Cuota anual de la Conferencia de Consejo","CONFERENCIA DE CONSEJOS SOCIALES","3000,00"
"CUOTA INSTITUCIONAL CORRESPONDIENTE AL A","CONFERENCIA DE DECANOS DE MATEMATICAS","300,00"
"CUOTA ANUAL 2013 DE LA CONFERENCIA DE DI","CONFERENCIA DE DIRECTORES Y DECANOS DE I","300,00"
"CUOTA 2013 CONFERENCIA DE RECTORES DE LA","CONFERENCIA DE RECTORES UNIVERSIDADES ES","12360,00"
"CUOTA ANUAL SOCIOS REBIUN","CONFERENCIA DE RECTORES UNIVERSIDADES ES","2360,00"
"CUOTA ANUAL 2013 DE LA CONFERENCIA ESPAÑ","CONFERENCIA ESPAÑOLA DE DECANOS DE QUIMI","350,00"
"CUOTA SOCIO DEFENSOR UNIVERSITARIO 2013","CONFERENCIA ESTATAL DE DEFENSORES UNIVER","225,00"
"ABONO CUOTA DE ASOCIADO A LA CONFERENCIA","CONFERENCIA N. DE DIRECTORES DE ESCUELA","125,00"
"PAGO FACTURA PAGO CUOTA ANUAL COMO MIEMB","CONFERENCIA NACIONAL DE DECANOS DE FACUL","720,00"
"PAGO CUOTA 2013 A LA CONFERENCIA NACIONA","CONFERENCIA NACIONAL DE DIRECTORES DE CE","125,00"
"CUOTA ANUAL ASOCIACION CULTURAL CONSEJO","CONSEJO DE COLEGIOS MAYORES UNIVERSITARI","360,00"
"APORTACION AÑO 2013  AL PRESUPUESTO ORDI","CONSORCIO DEL PARQUE DE LAS CIENCIAS","338452,00"
"DONATIVO CRUZ ROJA ESPAÑOLA - AÑO 2013 -","CRUZ ROJA ESPAÑOLA","1500,00"
"Cuota anual Federación Española de Socio","FEDERACION ESPAÑOLA DE SOCIOLOGIA","300,00"
"SERVICIO DE TRANSPORTE ADAPTADO PARA LOS","FEDERACION PROVINCIAL ASOCIACIONES MINUS","13500,00"
"APORTACION 2013 FUNDACION PRIVADA TRIPTO","FUNDACIO PRIVADA TRIPTOLEMOS","2343,00"
"CUOTA ANUAL IMPACT CoC (13)","FUNDACION BIBLIOTECA VIRTUAL MIGUEL DE C","38226,00"
"TRANSFERENCIA A LA FUNDACION EUROARABE P","FUNDACION EUROARABE DE ALTOS ESTUDIOS","156000,00"
"CONVENIO MARCO DE COLABORACIÓN ENTRE LA","FUNDACION MAITE","1000,00"
"APORTACION 2013 - CONVENIO COLABORACION","FUNDACION PETER HABERLE","15000,00"
"DONACION FUNDACION PRO REAL ACADEMIA ESP","FUNDACION PRO REAL ACADEMIA ESPAÑOLA","1000,00"
"GASTOS DE FUNCIONAMIENTO UGR 2013  GENYO","FUNDACION PUBLICA ANDALUZA PROGRESO Y SA","225000,00"
"PAGO 1ª PARTE PROYECTO XI CONVOCATORIA M","GEOLOGOS DEL MUNDO","3400,00"
"CUOTA SOCIO INSTITUCIONAL 2013 - ISKO","ISKO ESPAÑA","169,40"
"PAGO A ASOCIACIÓN PARA EJECUCIÓN PROYECT","ONG SENDEROS DE MAIZ","10875,00"
"CUOTA 2013 - SOCIO INSTITUCIONAL SEDIC (","SOCIEDAD ESPAÑOLA DE DOCUM. E INF. CIENT","185,00"
"CUOTA ANUAL 2013 A LA SOCIEDAD ESPAÑOLA","SOCIEDAD ESPAÑOLA DE METODOS NUMERICOS E","188,24"
"75% AYUDA I CONVOCATORIA DE PROYECTOS UN","TALLER DE ANTROPOLOGIA Y CIENCIAS SOCIAL","2250,00"
"CDE DONACION A ONG SHANGRILA HOME VZW","TERCEROS COMUNITARIOS SIN IVA","400,00"
