Código,Departamento,T.C. (P.D.I.),T.P. (P.D.I.),Total (P.D.I.),ETC (P.D.I.),Tr. Doc. (P.D.I.),Tr. Inv. (P.D.I.),Tr. Aut. (P.D.I.),Fun. (P.A.S.),Lab. (P.A.S.),Total (P.A.S.)
305114,"TEORÍA DE LA SEÑAL, TELEMÁTICA Y COMUNICACIONES",23,3,26,24625,58,41,43,0,0,0
305115,ELECTRÓNICA Y TECNOLOGÍA DE COMPUTADORES,27,3,30,28500,66,50,46,1,0,1
305116,ECOLOGÍA,15,0,15,15000,51,40,36,1,3,4
305117,ZOOLOGÍA,24,1,25,24625,118,64,78,1,1,2
305118,BIOQUÍMICA Y BIOLOGÍA MOLECULAR 1,17,0,17,17000,52,28,40,1,0,1
305119,BIOQUÍMICA Y BIOLOGÍA MOLECULAR 2,19,1,20,19500,93,58,62,1,0,1
305120,BIOQUÍMICA Y BIOLOGÍA MOLECULAR 3 E INMUNOLOGÍA,16,2,18,17125,59,43,43,1,0,1
305121,ECONOMÍA INTERNACIONAL Y DE ESPAÑA,21,3,24,22500,51,14,35,1,0,1
305122,FILOSOFÍA II,14,0,14,14000,43,27,36,1,1,2
305123,FISICOQUIMICA,13,0,13,13000,65,18,34,1,0,1
305124,INGENIERIA DE LA CONSTRUCCION Y PROYECTOS DE INGENIERIA,10,11,21,17125,20,9,10,1,0,1
305125,URBANISTICA Y ORDENACION DEL TERRITORIO,13,4,17,15750,14,3,6,1,0,1
305126,METODOLOGIA DE LAS CIENCIAS DEL COMPORTAMIENTO,12,1,13,12500,37,23,29,1,0,1
305127,HISTORIA Y CIENCIAS DE LA MÚSICA,10,1,11,10750,29,18,21,1,0,1
305128,PSICOBIOLOGIA,12,0,12,12000,43,32,35,1,1,2
305129,PSIQUIATRIA,7,6,13,9250,15,11,12,1,0,1
305130,"MEDICINA LEGAL, TOXICOLOGIA Y ANTROPOLOGIA FISICA",17,0,17,17000,68,44,49,0,3,3
