UNIVERSIDAD DE GRANADA,Nº MEDIO DE CRÉDITOS MATRICULADOS,Nº MEDIO DE CRÉDITOS PRESENTADOS,Nº MEDIO DE CRÉDITOS SUPERADOS
ARTES Y HUMANIDADES,"42,01","30,76","28,14"
CIENCIAS,"40,76","29,38","25,54"
CIENCIAS DE LA SALUD,"73,05","61,61","56,68"
CIENCIAS SOCIALES Y JURÍDICAS,"38,79","29,05","25,33"
INGENIERÍA Y ARQUITECTURA,"34,39","25,32","22,59"
TODAS LAS RAMAS,"40,35","30,53","27,17"
