UNIVERSIDAD DE GRANADA,Nº MEDIO DE CRÉDITOS MATRICULADOS,Nº MEDIO DE CRÉDITOS PRESENTADOS,Nº MEDIO DE CRÉDITOS SUPERADOS
ARTES Y HUMANIDADES,"45,27","32,75","28,52"
CIENCIAS,"52,23","36,39","30,11"
CIENCIAS DE LA SALUD,"67,77","52,61","46,03"
CIENCIAS SOCIALES Y JURÍDICAS,"43,92","33,31","28,05"
INGENIERÍA Y ARQUITECTURA,"39,13","26,81","23,03"
TODAS LAS RAMAS,"46,97","34,61","29,54"
